,nb_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,num_stars,cluster
1194,1128681,False,0.981795871713844,0.16666666666666666,1.0,0.0,False,True,1.0,0.16666666666666666,0.5,11.0,True,False,2.0,False,False,0.0,1
1195,1132027,False,0.996851620614948,0.0,1.0,0.0,False,True,1.0,1.0,1.0,0.0,False,False,0.0,False,False,0.0,1
1196,1132364,False,0.9828553074270858,0.0,1.0,0.0,False,False,1.0,1.0,1.0,0.0,False,False,0.0,False,False,0.0,1
1197,1132414,False,0.7516125348393502,0.4545454545454545,1.0,0.2,False,True,1.0,0.0,1.0,1.1904761904761905,False,True,17.0,False,False,1.0,1
1198,1132849,False,0.9997983732705804,0.25,2.0,0.0,True,False,1.0,0.16666666666666666,0.875,2.875,False,False,1.0,False,False,1.0,1
1199,1133012,False,0.999619060660442,0.532258064516129,1.0,0.30303030303030304,False,True,1.0,0.08064516129032258,0.8604651162790697,26.55813953488372,True,True,11.0,False,False,0.0,3
1200,1133013,False,0.999619060660442,0.4166666666666667,1.0,0.3,False,True,1.0,0.04166666666666666,0.7941176470588235,9.264705882352944,False,True,13.0,False,False,0.0,1
1201,1134212,False,0.9703080182303676,0.0,1.0,0.0,False,True,1.0,0.0,1.0,0.0,False,False,8.0,False,False,0.0,1
1202,1135265,False,1.0,0.2857142857142857,1.0,0.5,False,True,1.0,0.0,1.0,1.6,False,False,0.0,False,False,0.0,1
1203,1136775,False,0.9997307424486274,0.6666666666666666,1.0,0.0,False,True,1.0,0.0,0.8571428571428571,4.857142857142857,True,False,3.0,False,False,0.0,1
1204,1136959,False,0.9988491511363374,0.8421052631578947,1.0,0.0,False,True,1.0,0.0,0.9411764705882352,4.470588235294118,True,False,1.0,False,False,0.0,1
1205,1137445,False,1.0,0.3125,1.0,0.0,False,True,1.0,0.0,0.9285714285714286,5.285714285714286,False,False,0.0,False,False,0.0,1
1206,1137941,False,0.9898704550619816,0.6,1.0,0.6666666666666666,False,True,1.0,0.0,1.0,21.0,False,False,0.0,False,False,0.0,3
1207,1138171,False,0.9898704550619816,0.6,1.0,0.6666666666666666,False,True,1.0,0.0,1.0,21.0,False,False,0.0,False,False,0.0,3
1208,1140296,False,0.9613244132648796,0.5833333333333334,1.0,0.42857142857142855,False,True,1.0,0.0,1.0,1.7777777777777777,False,False,1.0,False,False,0.0,1
1209,1140407,False,0.7264273142045768,0.8,1.0,0.0,False,True,1.0,0.0,1.0,3.333333333333333,True,False,0.0,False,False,0.0,1
1210,1140592,False,0.7264273142045768,0.8,1.0,0.0,False,True,1.0,0.0,1.0,3.333333333333333,True,False,0.0,False,False,0.0,1
1211,1141241,False,0.9977767537007272,0.5,1.0,1.0,True,True,1.0,0.0,1.0,1.0,False,False,1.0,False,False,2.0,1
1212,1144479,False,1.0,0.3333333333333333,1.0,1.0,False,True,1.0,0.0,1.0,14.0,False,False,0.0,False,True,0.0,1
1213,1144480,False,1.0,0.3333333333333333,1.0,1.0,False,True,1.0,0.0,1.0,14.0,False,False,0.0,False,True,0.0,1
1214,1145930,False,0.7769123185841506,0.0,5.0,0.0,False,False,1.0,0.5,1.0,0.0,False,False,0.0,False,False,1.0,1
1215,1146827,False,0.9999679560239568,0.35294117647058826,1.0,0.5,True,False,1.0,0.0,0.8,15.7,False,True,1.0,False,False,0.0,3
1216,1148956,False,0.8652173913043478,0.0,1.0,0.0,False,True,2.0,1.0,1.0,0.0,False,False,3.0,False,False,0.0,1
1217,1148957,False,0.8652173913043478,0.0,1.0,0.0,False,True,2.0,1.0,1.0,0.0,False,False,3.0,False,False,0.0,1
1218,1150586,False,1.0,0.4375,1.0,0.0,False,False,3.0,0.3125,0.8888888888888888,2.333333333333333,True,False,0.0,False,False,0.0,1
1219,1151820,False,1.0,0.7142857142857143,1.0,0.0,False,False,3.0,0.0,0.8,2.9,True,False,1.0,False,False,0.0,1
1220,1155632,False,1.0,0.5454545454545454,1.0,0.0,True,True,1.0,0.0,1.0,1.3,False,True,8.0,False,False,0.0,1
1221,1155900,False,0.4682644706886416,0.6666666666666666,1.0,0.5,False,False,3.0,0.0,1.0,7.4,False,False,0.0,False,False,0.0,1
1222,1156593,False,0.4243189840590301,0.5714285714285714,1.0,0.0,False,True,1.0,0.0,0.8,1.4,True,True,3.0,False,False,0.0,1
1223,1157278,False,1.0,0.375,0.0,0.0,True,True,1.0,0.0,0.7142857142857143,13.285714285714285,False,False,0.0,False,False,0.0,1
1224,1158417,False,0.9915626765554136,0.25,1.0,0.0,False,True,1.0,0.0,0.6666666666666666,8.5,True,False,2.0,False,False,0.0,1
1225,1158559,False,0.8972657679171415,0.7,1.0,0.14285714285714285,False,True,1.0,0.0,1.0,1.125,False,False,5.0,False,False,1.0,1
1226,1160295,False,0.9988491511363374,1.0,1.0,0.0,False,False,1.0,0.0,1.0,0.0,False,False,0.0,False,False,0.0,1
1227,1164387,False,0.9613244132648796,0.5,1.0,0.0,False,False,1.0,0.0,1.0,0.0,False,False,0.0,False,False,0.0,1
1228,1164696,False,0.8962940068655451,0.7058823529411765,2.0,0.4166666666666667,False,True,3.0,0.0,0.7333333333333333,15.733333333333333,True,False,1.0,False,False,3.0,3
1229,1165487,False,0.6944021417555023,0.85,1.0,0.0,False,True,1.0,0.0,0.9444444444444444,1.8888888888888888,False,False,3.0,False,False,0.0,1
1230,1166564,False,0.9977767537007272,0.75,1.0,0.0,True,True,4.0,0.0,0.9285714285714286,0.9285714285714286,False,False,0.0,False,False,2.0,1
1231,1166870,False,0.9997307424486274,0.08333333333333333,1.0,1.0,False,True,1.0,0.4166666666666667,0.5714285714285714,10.428571428571429,False,False,4.0,False,False,0.0,1
1232,1167271,False,1.0,0.375,1.0,1.0,False,True,2.0,0.125,0.8,2.2,False,False,1.0,False,False,0.0,1
1233,1167538,False,1.0,0.3,1.0,0.0,False,True,2.0,0.0,1.0,1.0,False,True,5.0,False,False,0.0,1
1234,1170246,False,1.0,0.42105263157894735,1.0,0.0,False,False,2.0,0.5263157894736842,1.0,1.375,True,False,0.0,False,False,0.0,1
1235,1172490,False,1.0,0.2857142857142857,1.0,0.0,False,True,1.0,0.0,1.0,1.0,False,False,2.0,False,False,0.0,1
1236,1173263,False,0.991082223351366,0.6363636363636364,1.0,0.2857142857142857,False,True,2.0,0.0,0.8888888888888888,11.777777777777779,False,False,9.0,False,False,0.0,1
1237,1173518,False,0.9966601494634976,1.0,0.0,0.0,False,False,1.0,0.0,1.0,0.0,False,False,0.0,False,False,0.0,1
1238,1173519,False,0.9966601494634976,1.0,0.0,0.0,False,False,1.0,0.0,1.0,0.0,False,False,0.0,False,False,0.0,1
1239,1173520,False,0.9966601494634976,1.0,0.0,0.0,False,False,1.0,0.0,1.0,0.0,False,False,0.0,False,False,0.0,1
1240,1173521,False,0.9966601494634976,1.0,0.0,0.0,False,False,1.0,0.0,1.0,0.0,False,False,0.0,False,False,0.0,1
1241,1173728,False,0.9859557150564116,0.0,2.0,0.0,False,False,1.0,0.0,1.0,0.0,False,False,0.0,False,False,0.0,1
1242,1173966,False,0.6638028153169442,0.0,2.0,0.0,False,True,1.0,1.0,1.0,0.0,False,False,1.0,False,False,12.0,1
1243,1175187,False,1.0,0.25,1.0,0.0,False,True,1.0,0.0,1.0,1.0,False,False,0.0,False,False,0.0,1
1244,1176635,False,0.9020242437865612,0.6521739130434783,1.0,0.0,True,True,1.0,0.043478260869565216,0.9523809523809524,5.047619047619048,False,False,3.0,False,False,0.0,1
1245,1176920,False,1.0,0.9,1.0,0.0,True,True,2.0,0.0,0.875,6.375,False,True,0.0,False,False,0.0,1
1246,1177107,False,1.0,0.25,1.0,0.0,False,True,1.0,0.0,1.0,1.0714285714285714,False,False,0.0,False,False,0.0,1
1247,1180210,False,0.902570185049303,0.75,2.0,0.16666666666666666,False,True,5.0,0.0,1.0,1.0,False,True,1.0,False,False,0.0,1
1248,1180293,False,1.0,0.6153846153846154,1.0,0.5,False,True,1.0,0.0,0.8181818181818182,37.09090909090909,True,True,0.0,False,False,0.0,3
1249,1180324,False,0.8972657679171415,0.6363636363636364,1.0,0.14285714285714285,False,True,1.0,0.0,0.5555555555555556,3.333333333333333,True,False,5.0,False,False,1.0,1
1250,1180986,False,0.9977767537007272,0.8181818181818182,1.0,0.0,False,True,2.0,0.0,1.0,1.0,False,False,1.0,False,False,2.0,1
1251,1180987,False,0.9977767537007272,0.8181818181818182,1.0,0.0,False,True,4.0,0.0,1.0,1.0,False,False,1.0,False,False,2.0,1
1252,1181280,False,0.9972518010390058,0.8333333333333334,1.0,0.0,True,False,2.0,0.0,0.9545454545454546,2.272727272727273,False,False,0.0,False,False,0.0,1
1253,1181933,False,1.0,0.8571428571428571,1.0,0.6666666666666666,True,True,1.0,0.14285714285714285,1.0,2.6,False,False,0.0,False,False,0.0,1
1254,1182807,False,1.0,0.75,1.0,0.0,True,True,4.0,0.0,0.5,4.166666666666667,True,False,0.0,False,False,0.0,1
1255,1183905,False,1.0,0.5384615384615384,0.0,0.5714285714285714,False,True,1.0,0.0,1.0,1.0,False,True,3.0,False,False,0.0,1
1256,1184535,False,0.990928926738888,1.0,2.0,0.5,True,False,1.0,0.0,1.0,8.0,False,False,0.0,False,False,0.0,1
1257,1185171,False,0.8871705695714928,0.6,4.0,0.0,False,True,2.0,0.2,1.0,1.5,False,True,3.0,False,False,0.0,1
1258,1186361,False,1.0,0.7755102040816326,1.0,0.5789473684210527,False,True,1.0,0.0,0.9148936170212766,23.659574468085108,False,False,5.0,False,False,4.0,3
1259,1187990,False,1.0,0.5,1.0,0.0,False,False,1.0,0.5,1.0,0.0,False,False,1.0,False,False,0.0,1
1260,1188303,False,1.0,0.5,1.0,0.0,False,False,1.0,0.5,1.0,0.0,False,False,1.0,False,False,0.0,1
