,nb_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,num_stars
79,70954,False,high,low,low,low,True,True,low,low,high,low,False,False,low,False,False,low
80,70955,False,high,low,low,low,True,True,low,low,high,low,False,False,low,False,False,low
81,71053,False,high,high,low,low,False,True,low,low,high,high,False,False,high,False,False,low
82,71054,False,high,high,low,low,False,True,low,low,high,high,False,False,high,False,False,low
83,71254,False,high,low,low,low,False,True,high,low,high,low,False,True,low,False,False,low
84,74546,False,high,low,low,low,False,True,low,low,high,low,False,False,low,False,False,low
85,77848,False,high,low,low,low,False,True,low,low,high,low,False,True,low,False,False,low
86,78586,False,high,low,high,low,False,True,low,low,high,low,True,False,low,False,False,low
87,78641,False,high,high,high,low,False,False,high,low,high,low,False,False,low,False,False,low
88,80914,False,high,high,low,high,False,True,low,low,high,high,False,False,low,False,False,low
89,81576,False,high,high,low,low,False,True,low,low,high,low,False,False,low,False,False,low
90,81577,False,high,high,low,low,False,True,low,low,high,low,False,False,low,False,False,low
91,82871,False,high,low,high,low,False,False,low,low,high,low,False,False,low,False,False,low
92,83609,False,low,low,low,high,False,False,low,low,high,low,True,True,low,False,False,low
93,84014,False,high,low,low,low,False,True,high,high,high,low,False,False,high,False,False,low
94,84242,False,high,low,low,low,False,True,high,high,high,low,False,False,high,False,False,low
95,84415,False,high,high,low,low,False,True,high,low,high,low,False,False,low,False,False,low
96,85938,False,high,high,low,low,True,True,low,low,high,low,False,False,low,False,False,low
97,86026,False,high,high,low,low,False,True,high,low,low,low,False,False,low,False,False,low
98,86212,False,high,low,low,low,False,True,low,low,high,low,False,True,low,False,False,low
99,89866,False,low,low,low,low,False,True,low,low,high,low,False,False,low,False,False,low
100,91344,False,low,low,low,low,False,True,low,high,high,low,False,True,high,False,False,low
101,91827,False,high,low,low,low,False,True,high,low,high,low,False,False,high,False,False,low
102,91990,False,high,low,low,high,False,True,high,low,high,low,False,False,low,False,False,low
103,92257,False,high,high,low,high,False,True,high,low,high,low,True,True,low,False,False,low
104,93609,False,high,high,low,low,False,False,low,low,high,low,False,False,low,False,False,low
105,93749,False,high,low,low,low,False,False,low,low,high,high,False,False,high,False,False,low
106,95551,False,low,low,low,low,False,True,high,low,high,high,False,False,high,False,False,low
107,97936,False,high,high,low,low,False,True,low,low,low,high,True,False,high,False,False,low
108,98978,False,high,high,low,low,False,True,high,low,high,low,True,False,low,False,False,low
109,99089,False,high,high,low,low,False,True,high,low,high,low,True,False,low,False,False,low
110,99899,False,high,low,low,low,False,False,high,low,high,low,False,True,low,False,False,low
111,100644,False,high,low,low,low,False,True,low,high,high,low,False,False,low,False,False,low
112,100751,False,high,high,low,low,False,False,low,low,high,low,False,False,low,False,False,low
113,100841,False,low,low,low,low,True,True,low,low,high,low,False,False,high,False,False,low
114,101059,False,high,low,low,high,False,True,low,low,high,low,False,False,low,False,False,low
115,101060,False,high,low,low,high,False,True,low,low,high,low,False,False,low,False,False,low
116,101801,False,high,low,low,low,True,True,low,low,high,low,False,False,low,False,False,high
117,102532,False,high,low,low,low,False,True,high,high,high,low,False,False,high,False,False,low
118,102621,False,high,low,low,low,False,True,high,high,high,low,False,False,high,False,False,low
119,103234,False,high,low,low,low,False,False,high,low,high,high,False,True,low,False,False,low
120,103856,False,high,low,high,low,False,True,low,low,low,low,False,False,low,False,False,low
121,106247,False,high,high,high,low,False,False,high,low,high,low,False,False,low,False,False,low
122,107922,False,high,high,low,high,False,True,high,low,high,low,False,False,low,False,False,low
123,107923,False,high,high,low,high,False,True,high,low,high,low,False,False,low,False,False,low
124,108009,False,high,low,high,low,False,True,low,low,high,low,False,True,low,False,False,low
125,108010,False,high,low,high,low,False,True,high,low,high,low,False,True,low,False,False,low
126,109283,False,high,low,low,low,False,True,low,low,high,low,False,True,low,False,False,low
127,110855,False,high,high,low,low,False,False,low,low,high,low,False,False,low,False,False,low
128,111020,False,high,low,low,low,False,True,low,low,high,low,False,True,low,False,False,low
129,111813,False,high,high,low,low,False,True,low,low,high,low,False,False,low,False,False,high
130,111814,False,high,high,low,low,False,True,low,low,high,low,False,False,low,False,False,high
131,113633,False,high,low,low,low,False,True,high,low,high,low,False,False,low,False,False,low
132,115766,False,low,high,low,low,True,True,high,low,high,high,True,False,low,False,False,low
133,116528,False,high,high,low,low,False,True,low,low,high,low,True,True,high,False,False,low
134,116693,False,high,high,low,low,False,True,low,low,high,low,True,True,high,False,False,low
135,118781,False,low,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
136,118956,False,high,low,high,low,False,False,low,low,high,low,False,False,low,False,False,low
137,121181,False,high,high,low,low,False,True,high,low,high,low,False,False,low,False,False,low
138,121667,False,high,low,low,low,False,True,low,low,low,low,True,True,high,False,False,low
