,nb_id,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,output_cell_prop,markdown_prop,num_contrib,image_prop,is_education,has_links,has_comments,md_frequency,has_title,num_commits,md_format,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,num_headers,has_param,num_stars
53,30648,False,True,False,False,high,high,high,low,low,False,True,False,low,True,low,True,low,high,low,False,False,low,False,low,False,high
54,30750,True,False,False,False,high,high,low,low,low,False,False,True,high,True,low,False,low,high,low,False,False,high,False,low,False,low
55,30895,True,False,False,False,high,high,low,low,low,False,False,True,high,True,low,False,low,high,low,True,True,low,False,low,False,low
56,30896,True,False,False,False,high,high,low,low,low,False,False,True,high,True,low,False,low,high,low,False,False,high,False,low,False,low
57,33847,False,False,False,False,high,low,low,low,high,True,False,True,low,True,low,False,low,high,low,False,False,high,False,low,False,low
58,33962,False,False,False,False,high,low,low,low,high,False,False,True,low,False,high,False,low,high,high,False,False,high,False,low,False,low
59,34403,False,False,False,False,high,high,low,low,low,True,False,True,low,True,low,False,low,high,low,False,False,low,False,low,False,high
60,34416,True,False,True,True,high,high,high,low,low,True,True,True,low,True,high,False,low,high,low,False,False,low,False,low,False,low
61,35533,False,False,False,False,high,low,low,low,low,True,True,False,low,True,low,True,high,high,low,False,False,low,False,low,False,low
62,35927,True,True,False,True,high,high,high,low,low,True,True,True,high,False,low,False,low,low,high,False,False,low,False,low,False,low
63,36023,True,True,False,True,high,high,high,low,low,True,True,True,high,False,low,False,low,low,high,False,False,low,False,low,False,low
64,37007,True,False,False,True,low,high,low,low,low,True,True,True,low,True,low,False,low,high,low,False,False,low,False,low,False,low
65,37067,True,False,False,False,high,high,low,low,low,False,False,True,high,True,low,False,low,high,low,False,True,low,False,low,False,low
66,37068,True,False,False,False,high,high,low,low,low,False,False,True,high,True,low,False,low,high,low,False,True,low,False,low,False,low
67,37121,False,False,False,False,high,low,low,low,low,True,False,False,high,False,low,False,low,high,low,False,False,low,False,low,False,low
68,37809,False,False,False,False,high,high,low,low,low,True,False,True,low,False,low,True,low,high,low,False,False,low,False,low,False,low
69,39331,True,False,True,True,high,high,low,low,low,True,True,True,high,True,high,True,low,high,low,False,True,low,False,low,False,low
70,39369,True,False,False,False,high,high,low,low,high,True,True,True,low,False,high,True,low,low,high,True,True,low,False,low,False,low
71,40464,True,False,False,False,high,high,low,low,low,True,False,True,high,True,low,False,low,high,low,True,False,low,False,low,False,low
72,40808,True,False,False,False,high,high,low,low,low,False,False,True,high,True,low,False,low,high,low,False,True,low,False,low,False,low
73,41080,False,False,False,False,low,low,low,high,low,False,False,True,low,False,low,False,low,high,high,False,False,high,False,low,True,high
74,41216,True,False,False,False,high,high,low,low,high,False,False,True,low,True,low,True,low,high,low,False,False,low,False,high,False,low
