,nb_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test
8,1589,False,0.7141299071007031,0.5384615384615384,1.0,0.14285714285714285,False,False,1.0,0.0,1.0,1.0,False,True,2.0,False
10,1919,False,0.997840434172238,0.7804878048780488,1.0,0.1875,False,True,1.0,0.04878048780487805,0.7894736842105263,10.631578947368421,True,True,5.0,False
14,2857,False,0.1219574789961369,0.4615384615384616,5.0,0.0,False,True,11.0,0.0,0.9090909090909092,6.181818181818183,False,True,0.0,False
27,4339,False,1.0,0.19047619047619047,1.0,0.0,False,True,1.0,0.0,1.0,1.631578947368421,False,False,1.0,False
29,4659,False,0.94006309148265,0.125,3.0,0.0,False,True,3.0,0.125,1.0,1.0,True,False,3.0,False
33,4903,False,1.0,0.8,1.0,0.0,False,True,1.0,0.0,1.0,27.33333333333333,False,False,0.0,False
38,6210,False,0.6209804681657657,0.5454545454545454,1.0,0.0,False,True,1.0,0.0,0.8888888888888888,3.5555555555555562,True,True,29.0,False
47,8074,False,0.9085572112577446,0.2222222222222222,1.0,0.5,False,True,1.0,0.0,0.8571428571428571,7.571428571428571,False,True,1.0,False
63,10149,False,1.0,0.0,1.0,0.0,False,False,1.0,1.0,1.0,0.0,False,True,0.0,False
64,10394,False,1.0,0.0,1.0,0.0,False,False,1.0,1.0,1.0,0.0,False,True,0.0,False
66,11007,False,1.0,0.2,1.0,0.0,False,True,1.0,0.0,1.0,1.0,False,False,0.0,False
67,11258,False,0.9997307424486274,0.0,1.0,0.0,False,True,1.0,0.5,1.0,0.0,False,True,11.0,False
75,12592,False,1.0,0.6923076923076923,1.0,0.5185185185185185,False,True,1.0,0.0,1.0,1.2424242424242424,True,False,0.0,False
81,13837,True,0.9898704550619816,0.25,1.0,0.0,False,True,1.0,0.0,1.0,0.0,False,True,0.0,False
82,13838,True,0.9898704550619816,0.25,1.0,0.0,False,True,1.0,0.0,1.0,0.0,False,True,0.0,False
96,14782,False,0.9999679560239568,0.5,1.0,0.5,True,False,1.0,0.0,0.8666666666666667,15.666666666666664,False,True,2.0,False
98,15682,False,0.9941712698119192,0.16666666666666666,1.0,0.0,False,True,5.0,0.0,0.6,14.8,False,True,4.0,False
101,15874,False,0.9446734159000976,0.2,1.0,0.0,False,False,1.0,0.4,1.0,30.0,False,True,7.0,False
104,16063,False,0.7824952795492633,0.8333333333333334,1.0,0.6,False,False,1.0,0.0,1.0,15.2,False,True,0.0,False
108,17125,False,0.7141299071007031,0.5555555555555556,1.0,0.2,False,True,5.0,0.0,1.0,1.0,False,False,0.0,False
112,18715,False,0.6015414549212741,0.4375,1.0,0.14285714285714285,False,True,1.0,0.0,0.9285714285714286,3.2142857142857144,True,False,1.0,False
