nb_id,error,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,output_cell_prop,markdown_prop,num_contrib,image_prop,is_education,language,has_links,has_comments,md_frequency,has_title,num_commits,md_format,non_exec_prop,exec_inorder,exec_skips,has_error,speaking_language,has_export,num_functions,has_test,num_headers,has_param,has_reqtext,num_stars
12592,,nan,nan,False,nan,1.0,0.6923076923076923,0.0,1,0.5185185185185185,False,python,nan,True,nan,False,1,nan,0.0,1.0,1.2424242424242424,True,nan,False,0,False,0,False,False,0
13018,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13379,,nan,nan,False,False,0.997714110670808,0.0,0.5,1,nan,True,python,False,True,1.0,False,3,False,0.5,nan,nan,False,Spanish,True,2,False,0,False,False,0
13702,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13740,,False,False,False,False,0.6100172944131892,0.07142857142857142,0.2631578947368421,1,0.0,False,python,False,True,0.5555555555555556,False,17,False,0.7857142857142857,nan,nan,False,English,False,4,False,5,False,False,1
13770,,True,False,False,False,0.9999989353411379,0.2,0.4444444444444444,1,0.0,False,python,False,True,0.6470588235294118,False,3,False,0.0,1.0,1.0,False,Spanish,True,5,False,8,False,False,1
13837,,nan,nan,True,nan,0.9898704550619816,0.25,0.0,1,0.0,False,python,nan,True,nan,False,1,nan,0.0,nan,nan,False,nan,True,0,False,0,False,False,0
13838,,nan,nan,True,nan,0.9898704550619816,0.25,0.0,1,0.0,False,python,nan,True,nan,False,1,nan,0.0,nan,nan,False,nan,True,0,False,0,False,False,0
14000,,nan,nan,False,nan,nan,0.4761904761904762,0.0,1,0.0,False,python,nan,True,nan,False,1,nan,0.0,1.0,1.4736842105263157,False,nan,True,0,False,0,False,False,0
14010,,True,False,False,False,0.9999989353411379,0.2,0.4444444444444444,1,0.0,False,python,False,True,0.6470588235294118,False,2,False,0.0,1.0,1.0,False,Spanish,True,5,False,8,False,False,1
