,nb_id,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,markdown_prop,num_contrib,image_prop,is_education,has_links,has_comments,md_frequency,has_title,num_commits,md_format,non_exec_prop,exec_inorder,exec_skips,has_error
63,36023,True,True,False,True,medium,medium,lower,medium,True,True,True,medium,False,lower,False,low,lower,higher,False
64,37007,True,False,False,True,medium,medium,lower,low,True,True,True,medium,True,lower,False,low,higher,lower,False
65,37067,True,False,False,False,high,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False
66,37068,True,False,False,False,high,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False
67,37121,False,False,False,False,high,medium,lower,low,True,False,False,high,False,lower,False,low,higher,lower,False
68,37809,False,False,False,False,medium,medium,lower,medium,True,False,True,low,False,lower,True,low,higher,lower,False
69,39331,True,False,True,True,high,medium,lower,medium,True,True,True,medium,True,higher,True,low,higher,lower,False
70,39369,True,False,False,False,high,medium,lower,medium,True,True,True,low,False,higher,True,low,lower,higher,True
71,40464,True,False,False,False,high,medium,lower,low,True,False,True,medium,True,lower,False,low,higher,lower,True
72,40808,True,False,False,False,high,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False
73,41080,False,False,False,False,medium,low,higher,medium,False,False,True,low,False,lower,False,low,higher,higher,False
74,41216,True,False,False,False,high,medium,lower,medium,False,False,True,medium,True,lower,True,low,higher,lower,False
75,42835,True,True,False,True,high,high,lower,low,True,True,True,medium,False,lower,True,low,higher,lower,False
76,42995,True,False,False,False,high,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False
77,43420,True,True,False,False,medium,high,lower,medium,True,True,True,medium,True,lower,True,low,higher,lower,False
78,43421,True,True,False,False,medium,high,lower,medium,True,True,True,medium,True,lower,True,low,higher,lower,False
79,44257,True,False,False,True,high,medium,lower,medium,True,False,False,high,False,lower,False,low,higher,lower,False
80,45264,False,False,False,False,high,low,lower,low,False,False,True,low,False,lower,False,low,higher,higher,False
81,46738,False,True,False,False,high,medium,lower,medium,False,False,True,medium,True,lower,False,low,higher,lower,False
82,46739,False,True,False,False,high,medium,lower,medium,False,False,True,medium,True,lower,False,low,higher,lower,False
83,47547,False,False,False,False,high,medium,lower,low,True,False,True,medium,False,lower,False,high,higher,lower,False
84,48030,False,False,False,False,high,medium,lower,medium,False,True,True,low,True,lower,False,low,higher,lower,False
85,48703,True,False,False,False,high,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False
86,49090,False,False,False,False,high,low,lower,medium,False,False,True,low,False,lower,False,low,higher,higher,False
87,49269,True,False,False,False,high,high,lower,low,True,False,False,medium,False,lower,True,low,higher,lower,False
88,49292,True,False,False,False,high,medium,lower,low,True,True,True,medium,False,higher,True,high,higher,lower,False
89,49956,False,False,False,False,high,medium,lower,medium,True,False,False,medium,False,lower,False,low,higher,lower,True
90,53145,True,False,False,False,high,medium,lower,medium,True,True,True,low,False,higher,True,low,lower,higher,True
91,53789,False,False,False,False,high,medium,lower,low,False,False,True,medium,True,lower,False,low,higher,lower,False
92,55219,False,True,False,False,high,medium,lower,low,True,False,False,medium,False,lower,False,low,higher,lower,False
93,55438,False,False,False,False,medium,medium,lower,low,False,False,True,low,True,lower,False,low,higher,lower,False
94,55798,True,True,False,True,high,medium,lower,medium,True,True,True,high,False,lower,True,low,higher,lower,False
95,56313,False,False,False,False,medium,medium,lower,low,False,True,True,low,False,higher,False,low,higher,higher,False
96,56776,True,False,False,False,high,medium,lower,low,True,False,True,medium,False,lower,True,high,higher,lower,False
97,57511,False,True,False,False,medium,high,lower,medium,True,True,True,medium,True,higher,True,low,lower,higher,False
98,57578,False,False,False,False,high,medium,lower,medium,False,False,True,medium,False,lower,False,low,higher,higher,False
99,57666,True,False,False,False,high,medium,lower,high,False,False,False,high,True,lower,True,low,higher,lower,False
100,58183,False,False,False,False,high,medium,lower,medium,True,False,True,high,True,lower,False,low,higher,lower,False
101,58253,True,False,False,False,medium,medium,lower,medium,True,False,True,high,True,lower,False,low,higher,lower,False
102,58570,False,False,False,False,high,medium,lower,medium,True,False,True,high,True,lower,False,low,higher,lower,False
103,59662,False,True,False,False,high,medium,higher,high,False,False,True,medium,False,higher,True,low,higher,lower,False
104,61467,True,False,False,False,high,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False
105,61810,True,False,False,False,high,medium,lower,medium,False,False,True,high,True,lower,False,low,higher,lower,False
106,62030,True,False,False,False,high,medium,lower,medium,False,False,True,high,True,lower,False,low,higher,lower,False
107,62187,True,True,False,False,high,medium,higher,low,True,True,False,medium,True,higher,True,low,higher,lower,False
