,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,num_stars
has_author,1,0.01811633606413547,-0.008877857265429443,-0.0012793063911236025,-0.04532950391844669,-0.0328743614494072,0.06505807935511135,-0.014467612502030668,0.11911806481019141,0.00827006846202514,-0.013118172745104673,0.023364282419473185,0.10716474060842172,0.1599899753147825,-0.0025707832808821085,-0.010008516422633033,-0.01945768347613674
jupyter_prop,0.01811633606413547,1,-0.01251019977210067,0.01423661227832258,0.11337949406395807,-0.08477796037858538,0.09607999137722605,-0.04087339304073804,0.0009724419093793291,-0.051242762306641765,0.05366969284298801,0.004844403195782866,0.03446339970984718,0.043842913512032664,-0.06417833347626384,0.04483508600431369,-0.0795019869192693
output_cell_prop,-0.008877857265429443,-0.01251019977210067,1,-0.07398966353651994,0.08648971862497519,-0.03591135136249802,-0.026696540279418646,0.05926651429833271,-0.22195022058196617,-0.09297982979677945,0.10556414499807983,0.1503564981149534,-0.1177391041620076,0.04215929749911794,-0.02123302085710115,-0.00993685915671056,0.07836899364332481
num_contrib,-0.0012793063911236025,0.01423661227832258,-0.07398966353651994,1,-0.06078589688687829,-0.048321629201969384,-0.0061127091817505886,0.07901993540345216,-0.021813842050123412,0.05900312655715295,-0.08049831152542726,-0.09170679831340975,0.08204626749666603,-0.07008986211647843,-0.008400069319366533,-0.03270296347395268,0.029271463312306203
image_prop,-0.04532950391844669,0.11337949406395807,0.08648971862497519,-0.06078589688687829,1,-0.050584711098878334,0.0701198523885595,0.11017804255239076,-0.12559809866619723,-0.03001451390745188,0.045714786462002055,-0.05878423629193911,-0.07907206162416652,-0.07757862099735088,-0.013032198994938913,0.05787589868395416,-0.04105005322681318
is_education,-0.0328743614494072,-0.08477796037858538,-0.03591135136249802,-0.048321629201969384,-0.050584711098878334,1,-0.005581307165530159,-0.0268311079871603,0.03164728992758135,0.0316689296402402,-0.03524690779074543,-0.047412979192286514,-0.047287724560396094,-0.09157515912807436,-0.009451354707322904,-0.01404625228010862,0.1817688667306321
has_comments,0.06505807935511135,0.09607999137722605,-0.026696540279418646,-0.0061127091817505886,0.0701198523885595,-0.005581307165530159,1,0.15215669635434056,0.06508803568561633,-0.04127340404282221,0.0684003720207249,0.036258285218309046,0.12868647135752695,0.14490803025689009,0.01870414990443583,-0.002734184280834727,0.053437672970105675
num_commits,-0.014467612502030668,-0.04087339304073804,0.05926651429833271,0.07901993540345216,0.11017804255239076,-0.0268311079871603,0.15215669635434056,1,0.016280170221094542,-0.029722056690747144,0.09540917554244989,-0.03794973444354884,0.011903783848678825,-0.03185273383323164,-0.014907262731795785,-0.041299331705230174,-0.050709478358830246
non_exec_prop,0.11911806481019141,0.0009724419093793291,-0.22195022058196617,-0.021813842050123412,-0.12559809866619723,0.03164728992758135,0.06508803568561633,0.016280170221094542,1,0.07658773701400301,-0.11264951561826848,-0.10444420155064602,0.06065376107097452,0.10257308666844908,0.09328363516474596,-0.030846151052540294,-0.03211343433157272
exec_inorder,0.00827006846202514,-0.051242762306641765,-0.09297982979677945,0.05900312655715295,-0.03001451390745188,0.0316689296402402,-0.04127340404282221,-0.029722056690747144,0.07658773701400301,1,-0.241422530457054,-0.16111342395141734,0.04794094761144296,-0.018085485372897264,0.009595850822060608,0.01487692654354719,-0.02273062852933573
