,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,num_stars
has_author,1,0.009573542210617928,0.007677543186180422,0.007751937984496124,0.0,0.0,0.013057671381936888,0.006191950464396285,0.04424778761061947,0.009128630705394191,0.0053475935828877,0.013333333333333334,0.023752969121140142,0.04411764705882353,0.0,0.0,0.0
jupyter_prop,0.009573542210617928,1,0.3515052888527258,0.08762886597938144,0.20257510729613734,0.09382924767540152,0.6327014218009479,0.21345514950166114,0.07731958762886598,0.7565347274085138,0.13550600343053174,0.15593220338983052,0.3014950166112957,0.1520068317677199,0.0,0.013066202090592335,0.03350515463917526
output_cell_prop,0.007677543186180422,0.3515052888527258,1,0.051666666666666666,0.18209876543209877,0.07855973813420622,0.31135531135531136,0.19536903039073805,0.0016181229773462784,0.34140625,0.15025041736227046,0.19312602291325695,0.15203955500618047,0.13694267515923567,0.0,0.009560229445506692,0.05772811918063315
num_contrib,0.007751937984496124,0.08762886597938144,0.051666666666666666,1,0.036312849162011177,0.027237354085603113,0.0824634655532359,0.10230179028132992,0.03225806451612903,0.09256198347107437,0.01730103806228374,0.018292682926829267,0.10493827160493827,0.02572347266881029,0.0,0.0,0.04216867469879518
image_prop,0.0,0.20257510729613734,0.18209876543209877,0.036312849162011177,1,0.05,0.19226856561546288,0.17184265010351968,0.0056022408963585435,0.1778496362166532,0.1056701030927835,0.0659090909090909,0.09624796084828711,0.05336426914153132,0.0,0.022900763358778626,0.019867549668874173
is_education,0.0,0.09382924767540152,0.07855973813420622,0.027237354085603113,0.05,1,0.10134436401240951,0.06744186046511629,0.06329113924050633,0.11019736842105263,0.045454545454545456,0.046242774566473986,0.06805293005671077,0.02359882005899705,0.0,0.00625,0.11666666666666667
has_comments,0.013057671381936888,0.6327014218009479,0.31135531135531136,0.0824634655532359,0.19226856561546288,0.10134436401240951,1,0.25842696629213485,0.0881104033970276,0.6156773211567732,0.13943808532778357,0.15816326530612246,0.3169291338582677,0.17770767613038907,0.001088139281828074,0.010822510822510822,0.047311827956989246
num_commits,0.006191950464396285,0.21345514950166114,0.19536903039073805,0.10230179028132992,0.17184265010351968,0.06744186046511629,0.25842696629213485,1,0.06887755102040816,0.21945337620578778,0.1372093023255814,0.08624229979466119,0.15822784810126583,0.08438818565400844,0.0,0.0030581039755351682,0.019390581717451522
non_exec_prop,0.04424778761061947,0.07731958762886598,0.0016181229773462784,0.03225806451612903,0.0056022408963585435,0.06329113924050633,0.0881104033970276,0.06887755102040816,1,0.08533554266777134,0.0,0.009404388714733543,0.08921161825726141,0.10431654676258993,0.009433962264150943,0.0,0.012578616352201259
exec_inorder,0.009128630705394191,0.7565347274085138,0.34140625,0.09256198347107437,0.1778496362166532,0.11019736842105263,0.6156773211567732,0.21945337620578778,0.08533554266777134,1,0.09697933227344992,0.1332801276935355,0.30781627719580984,0.14320585842148087,0.0008305647840531562,0.011618257261410789,0.038778877887788776
exec_skips,0.0053475935828877,0.13550600343053174,0.15025041736227046,0.01730103806228374,0.1056701030927835,0.045454545454545456,0.13943808532778357,0.1372093023255814,0.0,0.09697933227344992,1,0.1632047477744807,0.11842105263157894,0.12202380952380952,0.0,0.032432432432432434,0.013157894736842105
has_error,0.013333333333333334,0.15593220338983052,0.19312602291325695,0.018292682926829267,0.0659090909090909,0.046242774566473986,0.15816326530612246,0.08624229979466119,0.009404388714733543,0.1332801276935355,0.1632047477744807,1,0.13595706618962433,0.14560439560439561,0.0,0.013157894736842105,0.011194029850746268
has_export,0.023752969121140142,0.3014950166112957,0.15203955500618047,0.10493827160493827,0.09624796084828711,0.06805293005671077,0.3169291338582677,0.15822784810126583,0.08921161825726141,0.30781627719580984,0.11842105263157894,0.13595706618962433,1,0.16760828625235405,0.0,0.009302325581395349,0.046357615894039736
num_functions,0.04411764705882353,0.1520068317677199,0.13694267515923567,0.02572347266881029,0.05336426914153132,0.02359882005899705,0.17770767613038907,0.08438818565400844,0.10431654676258993,0.14320585842148087,0.12202380952380952,0.14560439560439561,0.16760828625235405,1,0.0,0.004651162790697674,0.0199203187250996
has_test,0.0,0.0,0.0,0.0,0.0,0.0,0.001088139281828074,0.0,0.009433962264150943,0.0008305647840531562,0.0,0.0,0.0,0.0,1,0.0,0.0
has_param,0.0,0.013066202090592335,0.009560229445506692,0.0,0.022900763358778626,0.00625,0.010822510822510822,0.0030581039755351682,0.0,0.011618257261410789,0.032432432432432434,0.013157894736842105,0.009302325581395349,0.004651162790697674,0.0,1,0.0
num_stars,0.0,0.03350515463917526,0.05772811918063315,0.04216867469879518,0.019867549668874173,0.11666666666666667,0.047311827956989246,0.019390581717451522,0.012578616352201259,0.038778877887788776,0.013157894736842105,0.011194029850746268,0.046357615894039736,0.0199203187250996,0.0,0.0,1
