------------- CLUSTER 1 -------------------
     nb_id    repo_id                                                    nb_name                                         repo_name                                                                                                       filepath  filtered                                                                                                                                         nb_path
531     531  165212759                            random_forest.ipynb                                                       bojigu/AlgeaClass                                                               bojigu~AlgeaClass_nb/random_forest.ipynb     False                                                                                   random_forest.ipynb
546     546  165221515                       Python Essential 2.ipynb                                               samirmullaskype/Python-E1                                                  samirmullaskype~Python-E1_nb/Python Essential 2.ipynb     False                                                                              Python Essential 2.ipynb
604     604  165214064                                  chatbot.ipynb                                            emmapraise/chatbot-RNN-DNLP-                                                          emmapraise~chatbot-RNN-DNLP-_nb/chatbot.ipynb     False                                                                                         chatbot.ipynb
607     607  165218145                                  explore.ipynb                                              zhaozhaoqueue/KDD-projects                                                            zhaozhaoqueue~KDD-projects_nb/explore.ipynb     False                                                                                project5/explore.ipynb
617     617  165219518                                   models.ipynb                                         alvarogonjim/Skin-Cancer-DL-TFG                                                        alvarogonjim~Skin-Cancer-DL-TFG_nb/models.ipynb     False                                                                            server/models/models.ipynb
619     619  165220711                       Python Essential 2.ipynb                                                      CollinsEze/CPython                                                         CollinsEze~CPython_nb/Python Essential 2.ipynb     False                                                                              Python Essential 2.ipynb
625     625  165223479                  NLSA_Daily_Full_Batches.ipynb                            montalex/NLSA_Application_To_Climate_Science                          montalex~NLSA_Application_To_Climate_Science_nb/NLSA_Daily_Full_Batches.ipynb     False                                                                         NLSA_Daily_Full_Batches.ipynb
667     667  165227402      20190205_ML_Problem_Set2-checkpoint.ipynb                                         fadamDS/201901_Machine_Learning                           fadamDS~201901_Machine_Learning_nb/20190205_ML_Problem_Set2-checkpoint.ipynb     False  02_Problem_Sets/20190201_Set2/03_Script/.ipynb_checkpoints/20190205_ML_Problem_Set2-checkpoint.ipynb
677     677  165226899                    Siamese_MNIST_dataset.ipynb  SaiVineethKalluruSrinivas/Saimese-Neural-Network-for-one-shot-learning  SaiVineethKalluruSrinivas~Saimese-Neural-Network-for-one-shot-learning_nb/Siamese_MNIST_dataset.ipynb     False                                                                           Siamese_MNIST_dataset.ipynb
702     702  165229518                         SO_Tag_Predictor.ipynb                             MaharshiYeluri01/StackoverflowTagPrediction                                  MaharshiYeluri01~StackoverflowTagPrediction_nb/SO_Tag_Predictor.ipynb     False                                                                                SO_Tag_Predictor.ipynb
754     754  165232015                         FB_featurization.ipynb       MaharshiYeluri01/FaceBook_Friennd_Recommendation_UsingGraphMining            MaharshiYeluri01~FaceBook_Friennd_Recommendation_UsingGraphMining_nb/FB_featurization.ipynb     False                                                                                FB_featurization.ipynb
757     757  165232509                             plotly_intro.ipynb                                               wwwebb42/python_tutorials                                                        wwwebb42~python_tutorials_nb/plotly_intro.ipynb     False                                                                                    plotly_intro.ipynb
1158   1158  165231347                     Chapter_10_Exercises.ipynb                                               tomcdonald/studynotebooks                                                tomcdonald~studynotebooks_nb/Chapter_10_Exercises.ipynb     False                                                    first-edition-notebooks/Chapter_10_Exercises.ipynb
1184   1184  165229997                                      CNN.ipynb                                              dimtsi/Malaria_PyTorch_DSP                                                                dimtsi~Malaria_PyTorch_DSP_nb/CNN.ipynb     False                                                                                             CNN.ipynb
1261   1261  165229949                       Chatbot_using_NLTK.ipynb                                                        pratmeht/Chatbot                                                           pratmeht~Chatbot_nb/Chatbot_using_NLTK.ipynb     False                                                                              Chatbot_using_NLTK.ipynb
------------- CLUSTER 3 -------------------
     nb_id    repo_id                                                                               nb_name                                                 repo_name                                                                                                    filepath  filtered                                                                                                                nb_path
