------------- CLUSTER 1 ------------------- tutorials?
117    117  165200414                         exercise-syntax-variables-and-numbers-2b8c87-checkpoint.ipynb                              JCwow/Kaggle-Python                      JCwow~Kaggle-Python_nb/exercise-syntax-variables-and-numbers-2b8c87-checkpoint.ipynb     False                                                          exercise-syntax-variables-and-numbers-2b8c87-checkpoint.ipynb
142    142  165198342                                                                 DataExploration.ipynb             MelissieP/animal-adoption-prediction                                             MelissieP~animal-adoption-prediction_nb/DataExploration.ipynb     False                                                                                                  DataExploration.ipynb
151    151  165198126  Homework_04-Pandas_Instructions_PyCitySchools_PyCitySchools_starter-checkpoint.ipynb                                 mmusa2004/Pandas  mmusa2004~Pandas_nb/Homework_04-Pandas_Instructions_PyCitySchools_PyCitySchools_starter-checkpoint.ipynb     False  PyCitySchools/.ipynb_checkpoints/Homework_04-Pandas_Instructions_PyCitySchools_PyCitySchools_starter-checkpoint.ipynb
224    224  165207856                                                      4. Real-World Data Example.ipynb                       rachelkberryman/DSR_Pandas                                            rachelkberryman~DSR_Pandas_nb/4. Real-World Data Example.ipynb     False                                                                                       4. Real-World Data Example.ipynb
235    235  165207685                     {version.e.g.1.0}-{your_name}-describe_contents}-checkpoint.ipynb                           RyusukeKimura/crisp-dm               RyusukeKimura~crisp-dm_nb/{version.e.g.1.0}-{your_name}-describe_contents}-checkpoint.ipynb     False                                   .ipynb_checkpoints/{version.e.g.1.0}-{your_name}-describe_contents}-checkpoint.ipynb
278    278  165204691                                                      Part 8 - Transfer Learning.ipynb                            nmtruong93/DL_PyTorch                                                 nmtruong93~DL_PyTorch_nb/Part 8 - Transfer Learning.ipynb     False                                                                                       Part 8 - Transfer Learning.ipynb
286    286  165212274                                                                         PROJECT.ipynb                Eros1996/mnist-fully-connected-nn                                                        Eros1996~mnist-fully-connected-nn_nb/PROJECT.ipynb     False                                                                                                          PROJECT.ipynb
287    287  165205913                                                        Stacking  - Hans Rosling.ipynb                 steffmul/SpicedAcademy_Exercises                                        steffmul~SpicedAcademy_Exercises_nb/Stacking  - Hans Rosling.ipynb     False                                                                                         Stacking  - Hans Rosling.ipynb
308    308  165205866                                                            Edureka_Assignment 2.ipynb                   vishwa83/Data-Science-Projects                                              vishwa83~Data-Science-Projects_nb/Edureka_Assignment 2.ipynb     False                                                                                             Edureka_Assignment 2.ipynb
410    410  165204037                                                             twitterUserAnalysis.ipynb                        nehasingh2710/ds-ml-funda                                                    nehasingh2710~ds-ml-funda_nb/twitterUserAnalysis.ipynb     False                                                                     Data/twitterDataAnalysis/twitterUserAnalysis.ipynb
