,nb_id,repo_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,has_reqtext,num_stars
113473,119077,179300340,False,0.7310585786300049,0.5,0.7310585786300049,0.5,False,True,0.9990889488055994,0.7310585786300049,0.7310585786300049,0.5,False,False,0.5,False,False,False,0.9933071490757153
113504,119110,179326482,False,0.7310585786300049,0.6575001816623876,0.7310585786300049,0.6302602229177513,True,True,0.7310585786300049,0.5541347975495562,0.7310585786300049,0.8573073470271807,False,False,0.9999999999999656,False,False,False,0.9820137900379085
113527,119133,179336771,False,0.7310585786300049,0.6390927451628512,0.7310585786300049,0.5312093733737563,False,True,0.7310585786300049,0.6055324872205857,0.7310585786300049,0.8279871670642386,True,False,0.9820137900379085,False,False,False,0.9525741268224334
113528,119134,179328368,False,0.7310585786300049,0.7057850278370112,0.7310585786300049,0.6258106073099956,False,True,0.7310585786300049,0.5,0.687718309206393,0.9999979112598173,False,False,0.5,False,False,False,0.8807970779778823
113530,119136,179301514,False,0.7310585786300049,0.6195891815433461,0.7310585786300049,0.5621765008857981,True,False,0.7310585786300049,0.5,0.7310585786300049,0.7310585786300049,False,False,0.5,False,False,False,0.8807970779778823
113537,119143,179340534,True,0.7310585786300049,0.7091592708112199,0.7310585786300049,0.6751798196881805,True,True,0.7310585786300049,0.5,0.7265667307661425,0.9175179090752534,False,False,0.5,False,False,False,0.8807970779778823
113538,119144,179315755,False,0.727300077081017,0.5825702064623147,0.7310585786300049,0.5,False,True,0.7310585786300049,0.6607563687658172,0.7310585786300049,0.9979746796109501,False,True,0.7310585786300049,False,False,False,0.8807970779778823
113541,119147,179283799,False,0.7121259672130387,0.6224593312018546,0.7310585786300049,0.5,False,True,0.7310585786300049,0.5,0.7310585786300049,0.7310585786300049,False,False,0.999997739675702,False,False,False,0.8807970779778823
113546,119152,179283731,False,0.7310585786300049,0.5753153492262216,0.7310585786300049,0.5440035103251184,False,True,0.7310585786300049,0.6673954654046053,0.7185943925708561,0.9928785712542649,False,False,0.9525741268224334,False,False,False,0.8807970779778823
113561,119167,179295025,False,0.7306179955721885,0.5960151933265168,0.7310585786300049,0.6390927451628512,False,True,0.7310585786300049,0.5,0.7113522776766364,1.0,False,True,0.9820137900379085,False,False,False,0.8807970779778823
113580,119186,179323436,False,0.7286944776682139,0.6445661033555109,0.8807970779778823,0.5399148845555657,False,True,0.7310585786300049,0.5178495544061347,0.6444186632340837,0.9999999999998808,True,False,0.9999999847700205,False,False,False,0.8807970779778823
113592,119198,179317288,False,0.7310585786300049,0.6646777944272639,0.7310585786300049,0.683354470187783,False,True,0.7310585786300049,0.5782977732960317,0.7310585786300049,0.9729680917669681,False,False,0.8807970779778823,False,False,False,0.8807970779778823
113594,119200,179300822,False,0.720834394590173,0.6330803692548325,0.7310585786300049,0.5,True,False,0.7310585786300049,0.5,0.7109495026250039,0.999999999972033,False,False,0.9525741268224334,False,False,False,0.8807970779778823
113616,119224,179384194,False,0.7226890469545024,0.551540414929043,0.8807970779778823,0.5825702064623147,False,True,0.7310585786300049,0.5,0.7237146473101043,0.7382778959158074,False,False,0.9820137900379085,False,False,False,0.9999999943972036
113649,119257,179374755,False,0.7272338370691599,0.5,0.7310585786300049,0.5,False,True,0.9525741268224334,0.7193372377258702,0.7310585786300049,0.5,False,False,0.5,False,False,False,0.9996646498695336
113650,119258,179379981,False,0.7310585786300049,0.6128859370674177,0.7310585786300049,0.5730039009253378,False,True,0.7310585786300049,0.7310585786300049,0.7310585786300049,0.5,False,False,0.9999999999622486,False,False,False,0.9820137900379085
113652,119260,179378745,False,0.712268898987176,0.6370307944803831,0.7310585786300049,0.7310585786300049,False,False,0.9525741268224334,0.5,0.7310585786300049,0.9912270694007407,False,False,0.5,False,False,False,0.9933071490757153
113663,119271,179366751,False,0.7281690859789622,0.6145944982675495,0.7310585786300049,0.5709465968834663,False,True,0.7310585786300049,0.5166604965694114,0.6539309937088769,0.9894961554867145,False,True,0.8807970779778823,False,False,False,0.9820137900379085
113683,119291,179352873,False,0.7308487130455229,0.7086608250294356,0.7310585786300049,0.679178699175393,False,True,0.7310585786300049,0.5,0.7020633698789296,0.9998930302119844,False,False,0.7310585786300049,False,False,False,0.9525741268224334
113688,119296,179367475,False,0.7310585786300049,0.7020633698789296,0.9525741268224334,0.6354235592583607,False,True,0.9975273768433653,0.5,0.7310585786300049,0.7310585786300049,False,True,0.9525741268224334,False,False,False,0.8807970779778823
113692,119300,179385790,False,0.7310585786300049,0.6697150489011133,0.7310585786300049,0.58454595999112,True,True,0.7310585786300049,0.5344281929745097,0.7091592708112199,0.9922156571219619,False,False,0.9933071490757153,False,False,False,0.8807970779778823
113697,119305,179367466,False,0.7164234278117106,0.6376588823927429,0.5,0.5763218799074524,True,True,0.7310585786300049,0.5,0.7310585786300049,0.7310585786300049,False,False,0.9990889488055994,False,False,False,0.8807970779778823
113699,119307,179346023,False,0.7310585786300049,0.589920409262554,0.7310585786300049,0.598687660112452,True,True,0.9525741268224334,0.5,0.7037844257867932,0.9999772814869065,False,True,0.9999991684719722,False,False,False,0.8807970779778823
113700,119308,179363436,False,0.7294485506608965,0.6456563062257954,0.7310585786300049,0.7310585786300049,False,True,0.9525741268224334,0.5,0.7310585786300049,0.7310585786300049,False,False,0.5,False,False,False,0.8807970779778823
113705,119313,179351003,False,0.7310585786300049,0.6224593312018546,0.8807970779778823,0.5621765008857981,False,True,0.9990889488055994,0.5,0.7310585786300049,0.8949994149797352,False,False,0.9996646498695336,False,False,False,0.9525741268224334
113709,119317,179381444,False,0.7103663065646306,0.6664800876275272,0.9525741268224334,0.6607563687658172,False,True,0.7310585786300049,0.5,0.7128140986174974,0.9999999999999996,False,True,0.5,False,False,False,0.7310585786300049
113722,119330,179354582,False,0.7310585786300049,0.674206506269306,0.7310585786300049,0.5,True,True,0.7310585786300049,0.5227116332606392,0.7310585786300049,0.7758040119404283,True,False,0.9820137900379085,False,False,False,0.7310585786300049
113723,119331,179362089,False,0.7274535271724247,0.5533673727996529,0.7310585786300049,0.7310585786300049,False,False,0.7310585786300049,0.6869103646603125,0.7310585786300049,0.99999999999886,False,False,0.999983298578152,False,False,False,0.7310585786300049
