,nb_id,repo_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,has_reqtext,num_stars,cluster,cluster_dist
71035,74796,170467383,False,0.9865715781309105,0.5625,1.0,0.4444444444444444,True,True,2.0,0.0,1.0,1.1428571428571428,False,False,3.0,False,False,False,4.0,2,6.48275136851117
71039,74802,170455548,False,0.8423340516643391,0.4482758620689655,1.0,0.07692307692307693,True,True,1.0,0.6206896551724138,1.0,2.7,False,True,9.0,False,False,False,4.0,2,6.48275136851117
71040,74803,170466518,False,1.0,0.10526315789473684,1.0,0.5,False,True,1.0,0.0,1.0,1.2941176470588236,False,False,0.0,False,False,False,3.0,1,64.66808840360093
71047,74810,170472631,True,0.9601047152016858,0.6666666666666666,1.0,0.125,False,True,3.0,0.0,0.9130434782608696,2.565217391304348,False,False,2.0,False,False,False,2.0,1,64.66808840360093
71048,74811,170487035,False,1.0,1.0,1.0,0.0,True,True,1.0,0.0,0.8888888888888888,3.2222222222222223,False,False,4.0,False,False,False,2.0,2,6.48275136851117
71050,74813,170477289,False,1.0,0.22535211267605634,1.0,0.0625,True,True,1.0,0.0,0.9710144927536232,1.0579710144927537,False,True,33.0,False,False,False,2.0,3,395.2730464667604
71051,74814,170490985,False,1.0,0.7745098039215687,1.0,0.1518987341772152,True,True,1.0,0.0,0.9009900990099008,3.00990099009901,False,True,13.0,False,False,False,2.0,3,395.2730464667604
71052,74815,170475259,False,1.0,0.5695652173913044,1.0,0.4732824427480916,True,True,1.0,0.043478260869565216,0.9894736842105264,3.0052631578947366,False,True,17.0,False,False,False,2.0,3,395.2730464667604
71061,74824,170478028,False,1.0,0.8571428571428571,1.0,0.16666666666666666,True,True,1.0,0.0,0.8333333333333334,3.6666666666666665,False,False,0.0,False,False,False,2.0,2,6.48275136851117
71064,74827,170491315,False,1.0,0.7246376811594203,1.0,0.3,True,True,1.0,0.0,0.9411764705882352,4.0,False,True,10.0,False,False,False,2.0,2,6.48275136851117
71065,74828,170491241,False,1.0,0.5833333333333334,1.0,0.3928571428571429,True,True,1.0,0.02083333333333333,1.0,1.673913043478261,False,True,5.0,False,False,False,2.0,2,6.48275136851117
71069,74833,170490537,False,1.0,0.3076923076923077,1.0,0.125,False,True,1.0,0.0,0.875,18.791666666666668,True,False,2.0,False,False,False,2.0,4,493.3523385561624
71093,74858,170453152,False,0.9359741618984826,0.3333333333333333,1.0,0.25,False,True,1.0,0.0,1.0,1.0,False,True,4.0,False,False,False,1.0,1,64.66808840360093
71104,74869,170496846,False,1.0,0.0,1.0,0.0,True,True,11.0,1.0,1.0,0.0,False,False,0.0,False,False,False,1.0,2,6.48275136851117
71105,74870,170455619,False,1.0,0.7058823529411765,1.0,0.8333333333333334,True,True,1.0,0.0,1.0,1.0,False,False,2.0,False,False,False,1.0,2,6.48275136851117
71106,74871,170455960,False,0.9924766502231054,0.5217391304347826,1.0,0.3333333333333333,True,True,1.0,0.0,1.0,1.0,False,True,38.0,False,False,False,1.0,3,395.2730464667604
71108,74873,170457635,False,1.0,0.2058823529411765,0.0,0.0,False,True,1.0,0.4117647058823529,1.0,1.2105263157894737,True,False,8.0,False,False,False,1.0,1,64.66808840360093
71115,74880,170453405,False,1.0,0.5833333333333334,0.0,0.42857142857142855,True,True,2.0,0.0,0.9142857142857144,23.057142857142853,False,False,1.0,False,False,False,1.0,4,493.3523385561624
71118,74883,170472593,False,0.9159801880167072,0.0,1.0,0.0,True,True,1.0,1.0,1.0,0.0,False,False,5.0,False,False,False,1.0,2,6.48275136851117
71176,74941,170540421,False,0.9963766491471152,0.6,2.0,0.6666666666666666,True,True,2.0,0.1,1.0,1.0,False,False,1.0,False,False,False,11.0,2,6.48275136851117
71228,74994,170538311,False,1.0,0.4528301886792453,1.0,0.2083333333333333,False,True,1.0,0.1320754716981132,0.8409090909090909,7.590909090909091,True,True,6.0,False,False,False,5.0,1,64.66808840360093
71229,74995,170540531,False,1.0,0.75,1.0,1.0,True,True,1.0,0.0,1.0,1.0,False,False,4.0,False,False,False,5.0,2,6.48275136851117
71244,75010,170535820,False,0.9994970789636524,0.5957446808510638,1.0,0.03571428571428571,False,True,3.0,0.02127659574468085,0.8863636363636364,4.227272727272728,True,False,11.0,False,False,False,4.0,1,64.66808840360093
71249,75015,170506904,False,1.0,0.875,1.0,0.3809523809523809,True,True,1.0,0.0,0.8636363636363636,4.363636363636363,False,False,4.0,False,False,False,5.0,2,6.48275136851117
71253,75021,170507731,False,1.0,0.6111111111111112,1.0,0.6363636363636364,True,True,1.0,0.0,0.9375,12.8125,False,True,11.0,False,False,False,3.0,3,395.2730464667604
71258,75026,170523661,False,1.0,0.5769230769230769,0.0,0.26666666666666666,True,True,1.0,0.1153846153846154,0.7727272727272727,3.727272727272727,False,True,12.0,False,False,False,3.0,3,395.2730464667604
71272,75040,170504985,False,1.0,0.75,2.0,0.0,False,True,1.0,0.0,0.9333333333333332,2.6666666666666665,True,False,0.0,False,False,False,2.0,1,64.66808840360093
71295,75063,170501887,True,0.9804369413469368,0.8333333333333334,4.0,0.7,False,True,7.0,0.0,1.0,1.0,False,False,4.0,False,False,False,2.0,1,64.66808840360093
71326,75099,170527573,True,1.0,0.5076923076923077,1.0,0.5454545454545454,True,True,1.0,0.061538461538461535,0.9322033898305084,2.983050847457627,False,True,11.0,False,False,False,2.0,3,395.2730464667604
71336,75109,170530221,False,1.0,0.0,1.0,0.0,True,True,1.0,1.0,1.0,0.0,False,False,16.0,False,False,False,0.0,3,395.2730464667604
71343,75117,170548858,False,0.9589728970046164,0.6,1.0,0.3333333333333333,False,True,1.0,0.4,1.0,1.818181818181818,False,False,8.0,False,False,False,1.0,1,64.66808840360093
71345,75119,170551124,False,1.0,0.625,1.0,0.4666666666666667,False,True,1.0,0.0,0.9090909090909092,1.7272727272727273,False,False,0.0,False,False,False,1.0,1,64.66808840360093
71373,75147,170565627,False,0.9897775959442272,0.0196078431372549,4.0,0.0,False,True,1.0,0.9607843137254902,1.0,1.0,False,True,0.0,False,False,False,19.0,1,64.66808840360093
71393,75167,170591943,False,0.9776305825491692,0.5172413793103449,2.0,0.13333333333333333,True,True,1.0,0.0,1.0,1.4285714285714286,False,True,15.0,False,False,False,5.0,3,395.2730464667604
