,nb_id,repo_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,has_reqtext,num_stars
55754,58886,168432576,False,0.7167735584286637,0.7719298245614035,1.0,0.045454545454545456,True,True,1.0,0.0,1.0,1.018867924528302,False,False,2.0,False,False,False,0.0
55768,58900,168433738,False,1.0,0.459016393442623,1.0,0.4642857142857143,True,True,0.0,0.0,0.95,1.85,False,False,7.0,False,False,False,0.0
55769,58901,168429985,False,1.0,0.0,1.0,0.0,True,True,1.0,0.9333333333333332,1.0,0.0,False,False,0.0,False,False,False,0.0
55771,58903,168430068,False,1.0,0.4545454545454545,1.0,0.4666666666666667,True,True,1.0,0.9696969696969696,1.0,0.0,False,False,6.0,False,False,False,0.0
55804,58936,168429157,False,1.0,0.0,1.0,0.0,True,True,1.0,0.9333333333333332,1.0,0.0,False,False,0.0,False,False,False,0.0
55806,58938,168434086,False,1.0,0.8571428571428571,1.0,0.3333333333333333,True,False,1.0,0.0,1.0,3.5,False,False,0.0,False,False,False,0.0
55807,58939,168434284,False,1.0,0.0,1.0,0.0,True,True,1.0,0.9333333333333332,1.0,0.0,False,False,0.0,False,False,False,0.0
55808,58940,168432284,False,0.9778932236890782,0.2916666666666667,1.0,0.0,False,True,1.0,0.0,1.0,1.0909090909090908,False,False,2.0,False,False,False,0.0
55812,58944,168429371,False,1.0,0.0,1.0,0.0,True,True,1.0,0.9333333333333332,1.0,0.0,False,False,0.0,False,False,False,0.0
55814,58946,168432978,False,1.0,0.0,1.0,0.0,True,True,1.0,0.9333333333333332,1.0,0.0,False,False,0.0,False,False,False,0.0
55817,58949,168429774,False,0.9999040760394636,0.0,1.0,0.0,True,True,1.0,1.0,1.0,0.0,False,False,7.0,False,True,False,0.0
55861,58993,168429050,False,1.0,0.6666666666666666,1.0,0.2857142857142857,True,True,3.0,0.047619047619047616,1.0,1.0263157894736843,False,False,3.0,False,False,False,0.0
55870,59002,168436910,False,1.0,1.0,2.0,0.0,False,False,3.0,0.0,1.0,1.0,False,False,0.0,False,False,False,16.0
55874,59006,168435479,False,0.8958932127671027,0.42857142857142855,1.0,0.0,False,True,7.0,0.19047619047619047,0.9230769230769232,42.384615384615394,True,True,8.0,False,False,False,2.0
55876,59008,168438006,False,1.0,0.6607142857142857,1.0,0.2702702702702703,True,True,1.0,0.3392857142857143,1.0,1.4722222222222223,False,True,5.0,False,False,False,2.0
55877,59009,168434948,False,0.9373212469199992,0.4782608695652174,1.0,0.4545454545454545,True,False,3.0,0.0,1.0,1.0,False,False,9.0,False,False,False,1.0
55880,59012,168439410,False,1.0,0.6206896551724138,1.0,0.6111111111111112,False,True,1.0,0.0,0.8518518518518519,11.962962962962965,False,False,0.0,False,False,False,1.0
55883,59015,168436967,False,1.0,0.5128205128205128,1.0,0.7,True,True,3.0,0.0,1.0,1.0,False,False,1.0,False,False,False,1.0
55885,59018,168434957,False,1.0,0.0,2.0,0.0,True,False,3.0,0.5,1.0,0.0,False,False,0.0,False,False,False,0.0
55886,59020,168439613,False,1.0,0.8666666666666667,1.0,1.0,True,True,3.0,0.0,0.6923076923076923,10.923076923076923,False,True,0.0,False,False,False,0.0
55890,59026,168439520,False,1.0,0.7671232876712328,1.0,0.3928571428571429,True,True,1.0,0.0,0.9718309859154928,2.408450704225352,False,False,1.0,False,False,False,0.0
55900,59036,168438695,False,1.0,0.4375,1.0,1.0,False,False,1.0,0.0,0.9,14.5,False,False,4.0,False,False,False,0.0
55904,59040,168435040,False,1.0,0.4,3.0,0.5,True,True,6.0,0.6,0.0,1.0,False,False,0.0,False,False,False,0.0
55905,59041,168437977,False,1.0,0.6521739130434783,2.0,0.6,False,True,2.0,0.043478260869565216,0.9523809523809524,1.8095238095238089,False,False,0.0,False,False,False,0.0
55906,59043,168438050,False,1.0,0.6521739130434783,2.0,0.6,False,True,2.0,0.043478260869565216,0.9523809523809524,1.8095238095238089,False,False,0.0,False,False,False,0.0
55907,59044,168435221,False,0.9222558638663192,0.5806451612903226,1.0,0.3888888888888889,False,True,3.0,0.0,0.9310344827586208,2.2413793103448274,False,True,0.0,False,False,False,0.0
55908,59045,168435471,False,1.0,0.73,1.0,0.1506849315068493,False,True,1.0,0.0,0.9595959595959596,2.4343434343434343,False,True,8.0,False,False,False,0.0
55909,59046,168434657,False,0.9653015990608096,0.7428571428571429,1.0,0.8461538461538461,True,True,1.0,0.0,1.0,1.0303030303030305,False,True,8.0,False,False,False,0.0
55910,59047,168435023,False,0.9982668443051992,0.6571428571428571,1.0,0.6304347826086957,True,True,1.0,0.0,0.9856115107913668,4.223021582733813,True,True,1.0,False,False,False,0.0
