,nb_id,repo_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,has_reqtext,num_stars,cluster,cluster_dist
79,106,165198456,False,0.6588091033477101,0.5769230769230769,0.6666666666666666,0.5,True,True,0.8,0.6071428571428572,0.6363636363636364,0.8461538461538461,False,False,0.75,False,False,False,0.6666666666666666,1,0.03877971698209992
81,108,165197188,False,0.6666666666666666,0.609375,0.6666666666666666,0.5,True,True,0.6666666666666666,0.5,0.6666666666666666,0.7444444444444445,False,False,0.875,False,False,False,0.6666666666666666,1,0.03877971698209992
88,116,165201963,False,0.6666666666666666,0.625,0.6666666666666666,0.5428571428571428,True,True,0.6666666666666666,0.5102040816326531,0.6666666666666666,0.6901408450704225,False,False,0.8999999999999999,False,False,False,0.5,1,0.03877971698209992
89,117,165200414,False,0.6666666666666666,0.5,0.6666666666666666,0.5,True,True,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,False,True,0.5,False,False,False,0.5,4,0.1362640608953408
92,120,165200582,False,0.6666666666666666,0.6071428571428572,0.5,0.6470588235294118,False,True,0.75,0.5,0.6666666666666666,0.6896551724137931,False,True,0.5,False,False,False,0.5,3,0.08129710848133462
95,123,165202476,False,0.6666666666666666,0.5966386554621849,0.6666666666666666,0.5306122448979592,True,True,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,False,True,0.9655172413793103,False,False,False,0.5,2,0.09168566143514584
98,126,165196460,False,0.6629836885748576,0.6595744680851063,0.6666666666666666,0.5,False,True,0.6666666666666666,0.5,0.6666666666666666,0.7304347826086957,False,False,0.5,False,False,False,0.5,3,0.08129710848133462
114,142,165198342,False,0.6598193865008858,0.64,0.6666666666666666,0.6354166666666666,True,True,0.875,0.5,0.6666666666666666,0.6791044776119403,False,False,0.5,False,False,False,0.5,3,0.08129710848133462
118,146,165198613,False,0.6666666666666666,0.639344262295082,0.6666666666666666,0.5853658536585366,False,True,0.6666666666666666,0.5,0.6666666666666666,0.8,False,False,0.5,False,False,False,0.5,3,0.08129710848133462
120,148,165202414,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.64,False,True,0.6666666666666666,0.5,0.6666666666666666,0.7333333333333333,False,False,0.5,False,False,False,0.5,3,0.08129710848133462
123,151,165198126,False,0.6666666666666666,0.6451612903225807,0.6666666666666666,0.6666666666666666,True,True,0.8,0.5,0.6538461538461539,0.7804878048780488,False,False,0.5,False,False,False,0.5,3,0.08129710848133462
132,160,165197159,False,0.6666666666666666,0.6315789473684211,0.6666666666666666,0.5614035087719298,False,True,0.6666666666666666,0.5,0.6526315789473685,0.8047337278106509,False,False,0.5,False,False,False,0.5,3,0.08129710848133462
138,166,165197278,False,0.6666666666666666,0.6153846153846154,0.6666666666666666,0.5555555555555556,False,True,0.6666666666666666,0.5833333333333333,0.65625,0.8791208791208791,False,True,0.5,False,False,False,0.5,3,0.08129710848133462
