nb_id,repo_id,num_projects,num_ds_projects,num_followers,account_age
1046128,70043832,6,2,2,6
1046257,84753687,21,10,1,5
104649,55802506,10,3,3,6
1046646,74897953,22,9,64,6
1046652,13215299,102,15,42,9
1046932,52626322,13,2,2,6
1047080,80882387,7,3,1,4
1047164,52626322,13,2,2,6
1047532,89208298,254,6,71,8
1047587,89024985,40,14,19,8
1047986,62159180,7,3,8,7
1049384,84634570,18,4,1,4
104955,22551349,11,1,55,10
1049573,74897953,22,9,64,6
1050102,17724475,4,0,0,7
1050410,66648897,43,14,75,9
1050506,52626322,13,2,2,6
1050807,52626322,13,2,2,6
1051101,79085816,14,12,3,4
1051197,42681100,14,1,0,7
1052094,67824983,29,0,0,8
1052474,63036531,30,3,0,10
105306,76017756,25,3,1,6
1053100,36365820,50,2,17,12
1053367,75626605,19,4,7,6
105347,52626322,13,2,2,6
1053673,39974245,37,2,0,7
1053725,76335189,4,1,0,8
105406,63988248,17,3,0,7
1054080,36578950,,,,
1054081,36578950,,,,
1054306,80941131,8,4,0,5
1054804,44319376,,,,
1054931,43584002,86,26,320,7
1055400,47859566,1,1,0,6
1055804,47583155,2,1,0,6
1056107,72153021,1,1,0,5
1056395,90909152,25,4,49,8
1056478,83947009,71,7,19,6
1056586,79182271,6,3,0,7
1057077,59801052,4,2,1,5
1057112,75567150,7,3,0,5
1057292,74897953,22,9,64,6
105741,47778684,46,6,43,9
1057787,71765795,,,,
1058225,47644193,35,7,10,6
1058226,47644193,35,7,10,6
1058598,51168679,3,2,0,5
1058712,22551349,11,1,55,10
105886,41806912,10,3,6,8
1058978,47465027,12,1,3,7
1059097,47644193,35,7,10,6
1059151,73413447,117,1,46,10
1059402,78586348,14,9,2,4
105985,90063215,25,0,1,8
1060294,93292118,131,16,227,5
1060775,47465027,12,1,3,7
1061663,43584002,86,26,320,7
1061737,79482254,30,2,31,7
1061767,39974245,37,2,0,7
1061823,55952847,127,16,54,10
1062234,76602490,6,2,4,8
1062352,75626605,19,4,7,6
106247,80941131,8,4,0,5
1062869,47644193,35,7,10,6
1063260,89953189,36,11,16,6
1063377,90480464,35,12,0,5
1063668,90480464,35,12,0,5
1063793,38447805,2,0,0,6
1064317,52626322,13,2,2,6
1064357,86878862,2,2,0,4
1064422,84460605,6,2,1,8
1065131,44220745,26,2,4,11
1065203,17724475,4,0,0,7
1065239,44220745,26,2,4,11
1065518,68233974,19,11,0,5
1065698,40737779,187,22,45,7
1066052,90590288,24,12,8,6
1066141,40994223,98,21,93,8
1066253,74897953,22,9,64,6
106657,84241713,6,0,0,5
106658,84241713,6,0,0,5
1066746,48731603,27,7,8,7
1067150,59801052,4,2,1,5
1068477,42142178,2,0,0,6
1069487,95717000,14,4,0,5
1069495,69391174,14,12,1,5
1069528,75567150,7,3,0,5
1069615,81190104,48,5,0,5
107014,67824983,29,0,0,8
1070667,53615448,26,1,32,10
1070815,41813700,17,2,4,7
1071022,65494128,13,1,86,11
1071113,68017955,7,3,0,5
1071294,47778684,46,6,43,9
1071477,92964180,12,4,0,5
1071565,52626322,13,2,2,6
1071583,9687222,17,3,4,9
1071715,74607081,47,17,461,7
1071726,48731603,27,7,8,7
1071810,38447805,2,0,0,6
1071937,27559457,11,1,5,10
107226,33995773,24,1,4,9
1072544,89099984,,,,
1072631,45655960,29,1,14,7
1072822,85553601,24,4,10,5
1072823,85553601,24,4,10,5
1072921,66648897,43,14,75,9
1072991,49535309,40,1,1,6
1073096,49535309,40,1,1,6
1073124,95377593,5,3,1,6
1073247,95377593,5,3,1,6
1073262,69742672,11,3,4,7
1073820,42142178,2,0,0,6
1073849,82731174,13,1,26,7
1074067,42142178,2,0,0,6
1074750,17724475,4,0,0,7
1074927,72466386,3,1,0,5
1075275,93292118,131,16,227,5
1075753,37127904,60,0,5,7
1075754,37127904,60,0,5,7
1076234,54244052,5,3,2,6
107655,29422353,6,0,3,11
1076640,15321854,150,4,78,13
1076705,88536137,47,10,34,8
1077662,85152488,26,2,1,4
1078706,44319376,,,,
1078737,47644193,35,7,10,6
1078898,47644193,35,7,10,6
107910,76080814,9,6,0,5
107911,76080814,9,6,0,5
107922,70043832,6,2,2,6
107923,70043832,6,2,2,6
1079605,52416266,53,6,62,7
1079910,78575409,27,10,6,8
108009,81791748,25,7,3,8
108010,81791748,25,7,3,8
1080148,59786452,6,3,4,6
1081087,85071819,20,9,4,4
1081449,52626322,13,2,2,6
1081591,93618728,17,2,9,7
1081631,55179614,7,6,2,6
1081698,52626322,13,2,2,6
1081735,93934595,9,1,9,4
1081902,42850227,10,2,1,6
1082081,74897953,22,9,64,6
1082221,75567150,7,3,0,5
1082301,74897953,22,9,64,6
108304,75626605,19,4,7,6
1083162,88134043,24,2,15,8
1083579,43584002,86,26,320,7
1083789,30062330,16,4,8,7
1083998,95256237,70,14,9,7
1084049,34647497,14,2,8,9
1084120,39974245,37,2,0,7
1084279,95256237,70,14,9,7
1084380,52626322,13,2,2,6
1085215,15124520,27,4,11,8
108557,89198996,67,38,31,6
1085836,40163668,88,9,16,8
1086553,47778684,46,6,43,9
1086664,45777799,14,5,1,6
1086912,82969914,11,3,0,8
1086913,82969914,11,3,0,8
1087282,79482254,30,2,31,7
1087482,67824983,29,0,0,8
1087640,85071819,20,9,4,4
1087641,85071819,20,9,4,4
108809,89198996,67,38,31,6
1088117,72466386,3,1,0,5
1088133,42378439,26,3,0,7
1088184,76602490,6,2,4,8
1088554,34647497,14,2,8,9
1088843,52626322,13,2,2,6
1088988,60057963,35,2,104,7
1089146,22551349,11,1,55,10
1089297,45106953,15,5,4,7
1089298,45106953,15,5,4,7
1089652,63036531,30,3,0,10
1089705,22551349,11,1,55,10
1090144,60880099,40,18,11,6
1090145,60880099,40,18,11,6
1090285,82463896,5,2,2,5
1090286,62159180,7,3,8,7
1090319,68715936,21,13,2,5
1090440,67082558,36,28,21,5
1090714,55629749,7,6,9,6
1090962,83247711,41,5,36,5
1091261,47778684,46,6,43,9
109137,84508057,75,0,32,10
1091564,95004508,36,19,0,5
1091842,84522996,57,6,15,13
1092510,88397625,72,15,50,6
109283,87641713,46,25,30,5
1092891,95883737,2,1,0,6
1093010,42681100,14,1,0,7
1093035,96928086,25,2,35,5
1093114,29408527,28,2,60,9
1093134,50748590,23,2,0,9
1093549,94522055,14,2,0,7
1094118,47583155,2,1,0,6
1094120,40293216,72,46,0,7
1094234,42681100,14,1,0,7
1094723,22551349,11,1,55,10
1094829,76602490,6,2,4,8
1094991,63450709,3,2,0,5
1095043,89208298,254,6,71,8
1095441,96383050,152,2,0,7
1095734,58728208,32,15,0,5
1095873,44220745,26,2,4,11
1096265,79741089,19,1,8,10
1096266,79741089,19,1,8,10
1096549,8485124,14,5,897,10
1096788,70752864,86,27,4,7
1097390,91462487,80,16,3,7
1097848,22997582,39,4,40,10
1098407,52626322,13,2,2,6
1098511,63036531,30,3,0,10
1098899,34647497,14,2,8,9
1098953,89438537,16,2,2,9
1099377,56424681,92,14,93,8
1099562,48731603,27,7,8,7
1099672,96188406,38,9,103,8
1099882,52626322,13,2,2,6
1100356,88397625,72,15,50,6
1100357,88397625,72,15,50,6
1100358,88397625,72,15,50,6
1100364,41753170,26,0,4,6
11007,79238732,22,19,1,6
1101596,83247711,41,5,36,5
1102038,80488185,43,1,40,10
1102172,17385430,6,0,4,7
1102235,60057963,35,2,104,7
1102736,24891943,6,0,0,7
1103011,48731603,27,7,8,7
1103373,88134043,24,2,15,8
1103535,38890132,31,0,0,7
1104062,96045704,50,8,0,6
1104376,20816340,2,1,3,7
1104565,20816340,2,1,3,7
1105156,52626322,13,2,2,6
1105221,16029331,20,0,0,8
1105560,96592997,89,24,297,12
1105588,30405906,108,4,12,7
1105671,96592997,89,24,297,12
1105759,30405906,108,4,12,7
1105805,36365820,50,2,17,12
1106073,48731603,27,7,8,7
1106256,88134043,24,2,15,8
1106322,44220745,26,2,4,11
1106558,94604184,15,15,0,4
1106654,44220745,26,2,4,11
1106655,44220745,26,2,4,11
1106803,39974245,37,2,0,7
1106886,30062330,16,4,8,7
1107267,96154046,3,1,0,4
1107626,41806912,10,3,6,8
1107822,52626322,13,2,2,6
1107929,96592997,89,24,297,12
110855,76602490,6,2,4,8
1108622,73209564,186,34,8962,11
1108784,61178891,12,1,2,7
1109347,83335372,5,1,0,5
1109358,97054772,10,4,2,4
1109904,72153021,1,1,0,5
111020,85972539,10,1,5,8
1110259,39974245,37,2,0,7
1110265,95521008,7,1,4,7
111046,69742672,11,3,4,7
111047,69742672,11,3,4,7
1110584,73862485,6,2,0,5
1111006,96592997,89,24,297,12
1111198,64085111,24,2,12,10
1111546,96383050,152,2,0,7
1111944,76902624,16,9,2,5
1112023,63193884,50,14,27,6
1112464,89867523,5,1,0,7
111250,52472067,6,1,0,5
1112903,84631944,22,0,34,5
1113473,80445801,62,11,115,6
1113649,38495995,91,0,57,9
1113813,85972539,10,1,5,8
1114051,65643578,43,16,450,9
1114236,80714046,2,1,1,4
1114539,95004508,36,19,0,5
1114545,81791748,25,7,3,8
1114933,59786452,6,3,4,6
1114934,59786452,6,3,4,6
1114985,70752864,86,27,4,7
111506,44220745,26,2,4,11
1115203,59786452,6,3,4,6
1115206,89841839,37,13,2,5
1115715,74897953,22,9,64,6
1115901,71250527,9,0,3,6
1115925,74897953,22,9,64,6
1115940,41806912,10,3,6,8
1116456,85579446,12,2,2,6
111662,15124520,27,4,11,8
1116997,29982328,18,3,17,6
1117336,79355064,14,5,2,6
1117496,79355064,14,5,2,6
1117532,80882387,7,3,1,4
1117569,40394406,110,31,5,6
1118096,47655725,8,0,0,7
111813,69252304,6293,438,0,6
111814,69252304,6293,438,0,6
1118358,80881129,6,2,0,4
1118390,70144120,126,26,62,9
1118957,45655960,29,1,14,7
1118973,66648897,43,14,75,9
1119218,59786452,6,3,4,6
1119348,27120641,460,34,802,11
1119839,67082558,36,28,21,5
1119994,72466386,3,1,0,5
112013,35284655,4,0,0,6
1120475,42681100,14,1,0,7
1120739,31608348,10,1,3,7
1120754,68233974,19,11,0,5
1120853,60435970,13,7,1,7
1121885,34647497,14,2,8,9
1122090,67945149,83,14,201,10
1122309,47042287,13,6,0,6
1122355,96188406,38,9,103,8
1122469,43584002,86,26,320,7
1122649,43584002,86,26,320,7
1122781,20816340,2,1,3,7
1123054,61178891,12,1,2,7
1123224,49469452,27,3,10,9
1123396,4045820,53,5,1547,11
1123563,15124520,27,4,11,8
1123576,52626322,13,2,2,6
1123577,52626322,13,2,2,6
1123614,68062775,59,14,3,6
1123951,20816340,2,1,3,7
1123959,54905222,28,1,13,8
1124069,48731603,27,7,8,7
1124193,54905222,28,1,13,8
1124332,89841839,37,13,2,5
1124575,38447805,2,0,0,6
1124656,22997582,39,4,40,10
1125284,40163668,88,9,16,8
1125592,49469452,27,3,10,9
11258,76602490,6,2,4,8
1125803,95883737,2,1,0,6
1125940,52626322,13,2,2,6
1126005,63446742,22,4,6,10
1126006,63446742,22,4,6,10
1126520,52416266,53,6,62,7
1126645,89283407,1,1,0,4
1126915,52626322,13,2,2,6
1126916,52626322,13,2,2,6
1127181,94597550,23,16,51,5
112721,45106953,15,5,4,7
1127370,89099984,,,,
1127398,23371881,77,10,0,8
1127899,75093696,,,,
1128141,51873666,21,4,10,6
112824,39974245,37,2,0,7
1128491,91588629,7,2,0,4
1128648,95004508,36,19,0,5
1128681,91588629,7,2,0,4
1128690,51873666,21,4,10,6
1128711,49469452,27,3,10,9
1128795,36200517,1,0,0,6
112899,73209564,186,34,8962,11
1129755,88397625,72,15,50,6
113010,52626322,13,2,2,6
1130188,43523860,5,1,1,7
1130330,43523860,5,1,1,7
1131345,59449956,25,6,82,5
1131499,75567150,7,3,0,5
1132027,95959826,14,3,1,5
1132364,87832338,7,3,0,5
1132414,61477561,13,3,8,8
1132575,93332530,7,2,1,4
1132838,30734070,72,46,0,7
1132849,51873666,21,4,10,6
1133012,68062775,59,14,3,6
1133013,68062775,59,14,3,6
1133603,23398634,230,54,0,6
1133917,26829069,11,0,3,8
1134212,76670855,23,4,3,9
1134241,95521008,7,1,4,7
1134311,63036531,30,3,0,10
1134345,22551349,11,1,55,10
1134346,22551349,11,1,55,10
1134895,38447805,2,0,0,6
1135204,75567150,7,3,0,5
1135265,95175467,50,23,1,9
1135499,74897953,22,9,64,6
1135585,74897953,22,9,64,6
1135997,83947009,71,7,19,6
113623,96592997,89,24,297,12
113633,50963768,32,13,17,7
1136705,55952847,127,16,54,10
1136775,76602490,6,2,4,8
1136843,73992416,6,2,0,5
1136959,95883737,2,1,0,6
113698,27120641,460,34,802,11
1137118,41806912,10,3,6,8
1137182,37674194,9,3,45,8
1137183,37674194,9,3,45,8
1137262,44220745,26,2,4,11
1137445,79238732,22,19,1,6
1138838,22551349,11,1,55,10
1138839,22551349,11,1,55,10
1139511,61178891,12,1,2,7
1139588,47644193,35,7,10,6
1139974,85972539,10,1,5,8
1140296,45106953,15,5,4,7
1140407,15124520,27,4,11,8
1140592,15124520,27,4,11,8
1140874,63036531,30,3,0,10
1141159,38447805,2,0,0,6
1141241,70043832,6,2,2,6
1141796,16646759,,,,
1142369,74897953,22,9,64,6
1142370,74897953,22,9,64,6
1143341,59786452,6,3,4,6
1143423,59786452,6,3,4,6
1143424,59786452,6,3,4,6
1144469,37674194,9,3,45,8
1144479,83947009,71,7,19,6
1144480,83947009,71,7,19,6
1145074,63903754,12,8,19,11
