,support,itemsets,length
2,0.9532955041466609,frozenset({'has_author_F'}),1
16,0.9515495416848537,frozenset({'exec_inorder_higher'}),1
6,0.934089917066783,frozenset({'num_contrib_lower'}),1
48,0.907900480139677,"frozenset({'exec_inorder_higher', 'has_author_F'})",2
10,0.8895678742907027,frozenset({'has_comments_T'}),1
38,0.8886948930597992,"frozenset({'has_author_F', 'num_contrib_lower'})",2
89,0.8882584024443474,"frozenset({'exec_inorder_higher', 'num_contrib_lower'})",2
15,0.8742907027498908,frozenset({'non_exec_prop_low'}),1
18,0.8659973810563073,frozenset({'has_error_F'}),1
13,0.864687909209952,frozenset({'num_commits_lower'}),1
105,0.8481012658227848,"frozenset({'exec_inorder_higher', 'has_comments_T'})",2
42,0.8463553033609778,"frozenset({'has_author_F', 'has_comments_T'})",2
216,0.8454823221300742,"frozenset({'exec_inorder_higher', 'has_author_F', 'num_contrib_lower'})",3
17,0.8402444347446529,frozenset({'exec_skips_lower'}),1
83,0.8354430379746836,"frozenset({'num_contrib_lower', 'has_comments_T'})",2
47,0.8336970755128764,"frozenset({'non_exec_prop_low', 'has_author_F'})",2
45,0.8319511130510694,"frozenset({'num_commits_lower', 'has_author_F'})",2
119,0.8297686599738106,"frozenset({'exec_inorder_higher', 'non_exec_prop_low'})",2
123,0.8284591881274552,"frozenset({'exec_inorder_higher', 'has_error_F'})",2
86,0.8280226975120035,"frozenset({'num_commits_lower', 'num_contrib_lower'})",2
88,0.8267132256656482,"frozenset({'non_exec_prop_low', 'num_contrib_lower'})",2
115,0.8249672632038412,"frozenset({'num_commits_lower', 'exec_inorder_higher'})",2
50,0.8240942819729375,"frozenset({'has_author_F', 'has_error_F'})",2
122,0.8201658664338717,"frozenset({'exec_inorder_higher', 'exec_skips_lower'})",2
5,0.8201658664338717,frozenset({'markdown_prop_med'}),1
229,0.8079441292012222,"frozenset({'exec_inorder_higher', 'has_author_F', 'has_comments_T'})",3
49,0.8066346573548668,"frozenset({'exec_skips_lower', 'has_author_F'})",2
91,0.8066346573548668,"frozenset({'has_error_F', 'num_contrib_lower'})",2
3,0.8061981667394151,frozenset({'has_equation_F'}),1
214,0.7957223919685726,"frozenset({'num_commits_lower', 'has_author_F', 'num_contrib_lower'})",3
344,0.7952859013531209,"frozenset({'exec_inorder_higher', 'num_contrib_lower', 'has_comments_T'})",3
238,0.7948494107376691,"frozenset({'num_commits_lower', 'exec_inorder_higher', 'has_author_F'})",3
212,0.7931034482758621,"frozenset({'has_author_F', 'num_contrib_lower', 'has_comments_T'})",3
242,0.7917939764295068,"frozenset({'non_exec_prop_low', 'exec_inorder_higher', 'has_author_F'})",3
353,0.7904845045831514,"frozenset({'num_commits_lower', 'exec_inorder_higher', 'num_contrib_lower'})",3
246,0.7891750327367961,"frozenset({'exec_inorder_higher', 'has_author_F', 'has_error_F'})",3
215,0.7874290702749891,"frozenset({'non_exec_prop_low', 'has_author_F', 'num_contrib_lower'})",3
4,0.7874290702749891,frozenset({'jupyter_prop_high'}),1
245,0.7869925796595373,"frozenset({'exec_inorder_higher', 'exec_skips_lower', 'has_author_F'})",3
37,0.7852466171977303,"frozenset({'has_author_F', 'markdown_prop_med'})",2
356,0.7843736359668267,"frozenset({'exec_inorder_higher', 'non_exec_prop_low', 'num_contrib_lower'})",3
78,0.7808817110432126,"frozenset({'exec_inorder_higher', 'markdown_prop_med'})",2
90,0.7786992579659537,"frozenset({'exec_skips_lower', 'num_contrib_lower'})",2
104,0.7747708424268879,"frozenset({'non_exec_prop_low', 'has_comments_T'})",2
35,0.7734613705805325,"frozenset({'has_equation_F', 'has_author_F'})",2
360,0.7712789175032737,"frozenset({'exec_inorder_higher', 'has_error_F', 'num_contrib_lower'})",3
218,0.7660410301178525,"frozenset({'has_error_F', 'has_author_F', 'num_contrib_lower'})",3
59,0.7660410301178525,"frozenset({'has_equation_F', 'exec_inorder_higher'})",2
72,0.7651680488869489,"frozenset({'num_contrib_lower', 'markdown_prop_med'})",2
103,0.7616761239633348,"frozenset({'num_commits_lower', 'has_comments_T'})",2
591,0.7603666521169795,"frozenset({'num_commits_lower', 'exec_inorder_higher', 'has_author_F', 'num_contrib_lower'})",4
114,0.7603666521169795,"frozenset({'num_commits_lower', 'non_exec_prop_low'})",2
359,0.7603666521169795,"frozenset({'exec_inorder_higher', 'exec_skips_lower', 'num_contrib_lower'})",3
107,0.7599301615015277,"frozenset({'has_error_F', 'has_comments_T'})",2
121,0.7586206896551724,"frozenset({'non_exec_prop_low', 'has_error_F'})",2
36,0.7564382365779135,"frozenset({'has_author_F', 'jupyter_prop_high'})",2
584,0.75556525534701,"frozenset({'exec_inorder_higher', 'has_author_F', 'num_contrib_lower', 'has_comments_T'})",4
53,0.7542557835006547,"frozenset({'has_equation_F', 'num_contrib_lower'})",2
63,0.7529463116542995,"frozenset({'jupyter_prop_high', 'num_contrib_lower'})",2
117,0.7507638585770406,"frozenset({'num_commits_lower', 'has_error_F'})",2
69,0.7507638585770406,"frozenset({'exec_inorder_higher', 'jupyter_prop_high'})",2
207,0.7472719336534265,"frozenset({'exec_inorder_higher', 'has_author_F', 'markdown_prop_med'})",3
594,0.7472719336534265,"frozenset({'non_exec_prop_low', 'exec_inorder_higher', 'has_author_F', 'num_contrib_lower'})",4
217,0.7459624618070712,"frozenset({'exec_skips_lower', 'has_author_F', 'num_contrib_lower'})",3
1,0.7411610650371017,frozenset({'longer_ending_F'}),1
124,0.7394151025752946,"frozenset({'exec_skips_lower', 'has_error_F'})",2
228,0.7376691401134876,"frozenset({'non_exec_prop_low', 'has_author_F', 'has_comments_T'})",3
106,0.7376691401134876,"frozenset({'exec_skips_lower', 'has_comments_T'})",2
374,0.7372326494980358,"frozenset({'exec_inorder_higher', 'non_exec_prop_low', 'has_comments_T'})",3
343,0.7372326494980358,"frozenset({'non_exec_prop_low', 'num_contrib_lower', 'has_comments_T'})",3
74,0.736796158882584,"frozenset({'markdown_prop_med', 'has_comments_T'})",2
189,0.7363596682671323,"frozenset({'has_equation_F', 'exec_inorder_higher', 'has_author_F'})",3
342,0.735050196420777,"frozenset({'num_commits_lower', 'num_contrib_lower', 'has_comments_T'})",3
116,0.7333042339589699,"frozenset({'num_commits_lower', 'exec_skips_lower'})",2
598,0.7328677433435181,"frozenset({'exec_inorder_higher', 'has_error_F', 'has_author_F', 'num_contrib_lower'})",4
227,0.7315582714971628,"frozenset({'num_commits_lower', 'has_author_F', 'has_comments_T'})",3
237,0.7315582714971628,"frozenset({'num_commits_lower', 'has_author_F', 'non_exec_prop_low'})",3
352,0.7315582714971628,"frozenset({'num_commits_lower', 'non_exec_prop_low', 'num_contrib_lower'})",3
201,0.7306852902662593,"frozenset({'has_author_F', 'num_contrib_lower', 'markdown_prop_med'})",3
371,0.7289393278044523,"frozenset({'num_commits_lower', 'exec_inorder_higher', 'has_comments_T'})",3
378,0.7285028371890004,"frozenset({'exec_inorder_higher', 'has_error_F', 'has_comments_T'})",3
597,0.7280663465735486,"frozenset({'exec_inorder_higher', 'exec_skips_lower', 'has_author_F', 'num_contrib_lower'})",4
316,0.7280663465735486,"frozenset({'exec_inorder_higher', 'num_contrib_lower', 'markdown_prop_med'})",3
377,0.7245744216499346,"frozenset({'exec_inorder_higher', 'exec_skips_lower', 'has_comments_T'})",3
384,0.723701440419031,"frozenset({'num_commits_lower', 'exec_inorder_higher', 'non_exec_prop_low'})",3
391,0.7232649498035792,"frozenset({'exec_inorder_higher', 'non_exec_prop_low', 'has_error_F'})",3
184,0.7223919685726757,"frozenset({'has_equation_F', 'has_author_F', 'num_contrib_lower'})",3
193,0.7219554779572239,"frozenset({'has_author_F', 'jupyter_prop_high', 'num_contrib_lower'})",3
393,0.7219554779572239,"frozenset({'exec_inorder_higher', 'exec_skips_lower', 'has_error_F'})",3
231,0.7215189873417721,"frozenset({'has_author_F', 'has_error_F', 'has_comments_T'})",3
120,0.7210824967263204,"frozenset({'exec_skips_lower', 'non_exec_prop_low'})",2
198,0.7210824967263204,"frozenset({'exec_inorder_higher', 'has_author_F', 'jupyter_prop_high'})",3
240,0.7206460061108686,"frozenset({'num_commits_lower', 'has_author_F', 'has_error_F'})",3
244,0.7206460061108686,"frozenset({'non_exec_prop_low', 'has_author_F', 'has_error_F'})",3
77,0.7202095154954169,"frozenset({'non_exec_prop_low', 'markdown_prop_med'})",2
388,0.7189000436490616,"frozenset({'num_commits_lower', 'exec_inorder_higher', 'has_error_F'})",3
355,0.7184635530336098,"frozenset({'num_commits_lower', 'has_error_F', 'num_contrib_lower'})",3
295,0.7180270624181581,"frozenset({'exec_inorder_higher', 'jupyter_prop_high', 'num_contrib_lower'})",3
358,0.7167175905718027,"frozenset({'has_error_F', 'non_exec_prop_low', 'num_contrib_lower'})",3
266,0.7167175905718027,"frozenset({'has_equation_F', 'exec_inorder_higher', 'num_contrib_lower'})",3
387,0.7149716281099956,"frozenset({'num_commits_lower', 'exec_inorder_higher', 'exec_skips_lower'})",3
55,0.7132256656481886,"frozenset({'has_equation_F', 'has_comments_T'})",2
23,0.7132256656481886,"frozenset({'longer_ending_F', 'has_author_F'})",2
346,0.712352684417285,"frozenset({'has_error_F', 'num_contrib_lower', 'has_comments_T'})",3
239,0.7106067219554779,"frozenset({'num_commits_lower', 'exec_skips_lower', 'has_author_F'})",3
80,0.7097337407245744,"frozenset({'has_error_F', 'markdown_prop_med'})",2
247,0.7088607594936709,"frozenset({'exec_skips_lower', 'has_author_F', 'has_error_F'})",3
76,0.7079877782627674,"frozenset({'num_commits_lower', 'markdown_prop_med'})",2
58,0.7079877782627674,"frozenset({'has_equation_F', 'non_exec_prop_low'})",2
230,0.7071147970318639,"frozenset({'exec_skips_lower', 'has_author_F', 'has_comments_T'})",3
57,0.7071147970318639,"frozenset({'has_equation_F', 'num_commits_lower'})",2
582,0.7053688345700567,"frozenset({'num_commits_lower', 'has_author_F', 'num_contrib_lower', 'has_comments_T'})",4
203,0.7040593627237014,"frozenset({'has_author_F', 'markdown_prop_med', 'has_comments_T'})",3
322,0.7036228721082497,"frozenset({'exec_inorder_higher', 'markdown_prop_med', 'has_comments_T'})",3
794,0.7031863814927979,"frozenset({'num_commits_lower', 'exec_inorder_higher', 'num_contrib_lower', 'has_comments_T'})",4
590,0.7031863814927979,"frozenset({'num_commits_lower', 'has_author_F', 'non_exec_prop_low', 'num_contrib_lower'})",4
32,0.7031863814927979,"frozenset({'exec_inorder_higher', 'longer_ending_F'})",2
609,0.7027498908773462,"frozenset({'non_exec_prop_low', 'exec_inorder_higher', 'has_author_F', 'has_comments_T'})",4
390,0.7027498908773462,"frozenset({'exec_inorder_higher', 'exec_skips_lower', 'non_exec_prop_low'})",3
606,0.7014404190309909,"frozenset({'num_commits_lower', 'exec_inorder_higher', 'has_author_F', 'has_comments_T'})",4
583,0.701003928415539,"frozenset({'non_exec_prop_low', 'has_author_F', 'num_contrib_lower', 'has_comments_T'})",4
797,0.7005674378000873,"frozenset({'exec_inorder_higher', 'non_exec_prop_low', 'num_contrib_lower', 'has_comments_T'})",4
65,0.7001309471846355,"frozenset({'jupyter_prop_high', 'has_comments_T'})",2
354,0.6988214753382802,"frozenset({'num_commits_lower', 'exec_skips_lower', 'num_contrib_lower'})",3
67,0.6975120034919249,"frozenset({'num_commits_lower', 'jupyter_prop_high'})",2
619,0.6970755128764732,"frozenset({'num_commits_lower', 'exec_inorder_higher', 'has_author_F', 'non_exec_prop_low'})",4
806,0.6970755128764732,"frozenset({'num_commits_lower', 'exec_inorder_higher', 'non_exec_prop_low', 'num_contrib_lower'})",4
79,0.695329550414666,"frozenset({'exec_skips_lower', 'markdown_prop_med'})",2
560,0.6948930597992143,"frozenset({'exec_inorder_higher', 'has_author_F', 'num_contrib_lower', 'markdown_prop_med'})",4
27,0.6948930597992143,"frozenset({'longer_ending_F', 'num_contrib_lower'})",2
612,0.6944565691837625,"frozenset({'exec_inorder_higher', 'exec_skips_lower', 'has_author_F', 'has_comments_T'})",4
243,0.6931470973374072,"frozenset({'has_author_F', 'exec_skips_lower', 'non_exec_prop_low'})",3
