nb_id,repo_id,has_param,num_stars
1000546,70752864,False,1
1000590,92964180,False,0
1000623,90007255,False,0
1001147,80488185,False,0
1001280,24748843,False,0
1001333,36200517,False,10
1001500,61883811,False,0
1001543,74897953,False,0
1001650,74897953,False,0
1002462,26829069,False,0
1002463,26829069,False,0
1002479,93934595,False,1
1002676,12488872,False,0
1004567,51506807,False,0
1004983,16264060,False,3
1005141,29408527,False,5
1005326,60880099,False,0
1005909,84145125,False,0
1005910,90480464,False,0
100644,45961260,False,0
1006604,84522996,False,0
1006623,95175467,False,0
1006783,75567150,False,0
1007250,38832773,False,0
1007363,68767533,False,5
100751,40994223,False,0
1007699,68741949,False,3
1007740,47644193,False,0
1007741,47644193,False,0
100841,39964941,False,0
1008479,22551349,False,14
1008785,29982328,False,5
1008828,47644193,False,0
1008907,47644193,False,0
100938,33995773,False,1
1009478,83947009,False,0
1009479,83947009,False,0
1009537,95140333,False,0
101059,55179614,False,1
101060,55179614,False,1
1010702,81791748,False,0
1010865,63446742,False,0
1011216,92607036,False,0
1011562,95175467,False,0
1012240,55952847,False,3
1012486,89099984,False,0
1012605,59786452,False,0
1012701,70752864,False,1
1012785,28175756,False,0
1012825,86170615,False,0
1012921,54762665,False,0
1013053,84145125,False,0
1013054,90480464,False,0
1013074,53065713,False,18
1013084,86170615,False,0
1013283,74738329,False,0
1013394,76178115,False,0
10135,89024985,False,2
1013983,52626322,False,0
1014095,54361124,False,1
1014564,93292118,False,0
1014833,70265123,False,0
10149,87641713,False,0
1015661,91499355,False,0
1016538,39964941,False,0
1016597,43813691,False,0
1016950,75567150,False,0
1017300,52626322,False,0
1017432,69056869,False,0
1017551,76853073,False,1
1017552,76853073,False,1
1017688,69742672,False,0
1018009,52626322,False,0
101801,43584002,False,10
1018177,20816340,True,0
1018189,39974245,False,0
1018256,64769359,False,0
1018662,39704412,False,0
1018713,64769359,False,0
1018957,75626605,False,0
1019068,88134043,False,0
1019151,68390683,False,0
1019165,21268379,False,0
1019253,64794951,False,0
1019714,89099984,False,0
1019969,39974245,True,0
