nb_id,repo_id,has_export,num_functions,has_test,num_headers,has_papermill,has_reqtext
900493,85972539,True,0,False,0,False,False
322852,45655960,False,0,False,2,False,False
457759,27685708,False,0,False,1,False,False
672138,92749043,True,2,False,2,False,False
103154,30734070,True,0,False,0,False,False
650422,73549259,True,0,False,0,False,False
1180210,34783875,True,1,False,0,False,False
128841,52626322,True,6,False,1,False,False
498462,61883811,False,4,False,9,False,False
946708,52626322,True,0,False,1,False,False
169741,69056869,False,19,False,0,False,False
625482,20816340,False,1,False,21,False,False
933622,39964941,True,0,False,0,False,False
116896,66478811,False,0,False,2,False,False
259948,45655960,False,4,False,6,False,False
1102235,60057963,False,0,False,6,False,False
718440,94522055,False,0,False,0,False,False
329885,34647497,False,0,False,0,False,False
464580,74897953,True,8,False,10,False,False
1024456,94304084,False,0,False,0,False,False
367913,74897953,True,6,False,7,False,False
1050102,17724475,True,3,False,0,False,False
100841,39964941,False,7,False,0,False,False
961697,56629711,False,0,False,3,False,False
1259567,88977476,True,3,False,0,False,False
946166,93292118,True,5,False,10,False,False
729600,43584002,False,0,False,7,False,False
564918,82463896,True,6,False,9,False,False
950920,42681100,False,1,False,0,False,False
991672,92048647,True,5,False,3,False,False
1138838,22551349,False,0,False,0,False,False
151312,52626322,False,2,False,0,False,False
1228971,39974245,False,0,False,8,False,False
910697,84631944,False,3,False,1,False,False
514544,93096500,False,14,True,10,False,False
708529,38498516,True,0,False,0,False,False
394928,60493345,False,0,False,5,False,False
150506,22743322,False,0,False,0,False,False
778711,72466386,False,2,False,0,False,False
636129,95890486,False,1,False,4,False,False
873532,57122914,True,0,False,0,False,False
555417,15124520,False,2,False,0,False,False
79517,91499355,False,0,False,8,False,False
209376,52626322,True,2,False,1,False,False
937331,90480464,True,5,False,1,False,False
499247,91130687,False,0,False,16,False,False
177721,59383520,False,0,False,0,False,False
416868,45655960,True,10,False,7,False,False
1074927,72466386,True,3,False,1,False,False
237943,22551349,False,0,False,0,False,False
1106322,44220745,False,12,False,4,False,False
914547,61820883,True,0,False,10,False,False
589078,89159558,True,6,False,0,False,False
1044503,59383520,False,0,False,0,False,False
143457,95175467,True,4,False,0,False,False
715173,20816340,False,0,False,10,False,False
657882,66478811,False,0,False,0,False,False
215932,93965316,False,0,False,0,False,False
916465,84522996,False,8,False,2,False,False
182074,36578950,False,8,False,0,False,False
1216292,84634570,False,7,False,1,False,False
909803,56629711,False,0,False,6,False,False
600340,39704412,False,1,False,0,False,False
495729,74732556,True,0,False,0,False,False
4903,51168679,False,0,False,0,False,False
483900,50382317,False,3,False,2,False,False
772880,87832338,False,2,False,11,False,False
1198771,96188406,True,0,False,3,False,False
744949,71798807,True,3,False,3,False,False
1215903,73209564,False,4,False,5,False,False
231597,89159558,True,1,False,0,False,False
818899,52626322,False,15,False,1,False,False
619002,29422353,False,0,False,0,False,False
57447,89762755,False,0,False,0,False,False
1016538,39964941,True,1,False,0,False,False
331452,87239313,False,0,False,0,False,False
729499,37127904,True,4,False,0,False,False
557873,74897953,False,0,False,14,False,False
896776,53352407,False,0,False,4,False,False
409321,70344616,False,6,False,22,False,False
654268,81791748,True,1,False,0,False,False
611919,55952847,False,1,False,6,False,False
439024,81791748,True,1,False,0,False,False
806012,72466386,False,3,False,0,False,False
218994,92964180,False,6,False,4,False,False
238962,22551349,False,0,False,14,False,False
561518,81791748,True,0,False,0,False,False
431227,89198996,True,17,False,18,False,False
1081735,93934595,False,9,False,4,False,False
873949,89853917,True,16,False,26,False,False
1242619,72153021,True,1,False,6,False,False
891352,76065931,True,1,False,11,False,False
891156,15124520,False,4,False,0,False,False
686744,45427857,False,5,False,0,False,False
255052,80286710,True,16,False,26,False,False
495520,35895870,False,0,False,0,False,False
367759,52626322,False,6,False,1,False,False
791968,38447805,False,1,False,7,False,False
610942,85632190,True,0,False,0,False,False
1064317,52626322,False,25,False,1,False,False
27689,52626322,True,6,False,1,False,False
4800,82731174,False,2,False,3,False,False
663037,81791748,True,1,False,0,False,False
866222,24748843,False,2,False,0,False,False
406265,88677332,False,25,False,0,False,False
1204859,15124520,False,0,False,0,False,False
1044436,80116644,False,0,False,0,False,False
240501,83247711,False,2,False,1,False,False
1209113,51233056,False,0,False,0,False,False
1034894,60880099,True,2,False,16,False,False
910396,75626605,False,10,False,20,False,False
952418,82528964,False,14,False,0,False,False
1025896,61019926,False,1,False,3,False,False
842777,36578950,False,0,False,2,False,False
365193,90480464,True,3,False,1,False,False
1004983,16264060,True,0,False,4,False,False
653243,93292118,True,32,False,10,False,False
773539,85071819,False,1,False,0,False,False
86728,68390683,False,0,False,1,False,False
1250667,38447805,False,0,False,7,False,False
590465,61883811,False,2,False,0,False,False
310989,68604593,False,0,False,0,False,False
1229219,81791748,True,0,False,0,False,False
462519,74732556,True,0,False,1,False,False
327993,39964941,False,2,False,0,False,False
358465,83247711,False,0,False,9,False,False
1107267,96154046,True,5,False,0,False,False
228848,25423693,False,0,False,0,False,False
1022553,52626322,False,31,False,1,False,False
863540,14479635,False,0,False,1,False,False
1234375,74256624,False,2,False,0,False,False
444695,42142178,False,13,False,0,False,False
983838,52626322,False,4,False,1,False,False
905964,80882387,True,12,False,8,False,False
523340,80286710,True,12,False,26,False,False
314331,70344616,True,3,False,13,False,False
401638,29982328,False,0,False,4,False,False
1013074,53065713,True,4,False,7,False,False
796556,52626322,True,18,False,1,False,False
136585,41753170,False,0,False,0,False,False
11007,79238732,False,0,False,0,False,False
674624,81049960,True,11,True,15,False,False
132237,52626322,False,2,False,0,False,False
446407,85071819,False,4,False,17,False,False
552388,50112589,False,3,False,2,False,False
560168,84631944,False,3,False,2,False,False
269216,39974245,True,5,False,0,False,False
