,nb_id,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,output_cell_prop,markdown_prop,num_contrib,image_prop,is_education,has_links,has_comments,md_frequency,has_title,num_commits,md_format,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,num_headers,has_param,num_stars
46,27875,True,False,False,False,high,medium,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False,True,lower,False,low,False,lower
47,28680,True,True,False,False,medium,medium,high,lower,medium,True,True,True,medium,True,higher,True,low,higher,lower,False,True,higher,False,medium,False,lower
48,29043,True,False,False,False,high,low,high,lower,low,False,True,True,medium,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,lower
49,29044,True,False,False,False,high,low,high,lower,low,False,True,True,medium,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,lower
50,29343,True,False,False,False,high,medium,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,True,True,lower,False,low,False,lower
51,30129,True,True,False,False,medium,low,medium,lower,low,False,True,True,medium,True,lower,True,high,higher,lower,False,True,lower,False,medium,False,lower
52,30352,True,False,False,False,high,high,medium,lower,low,True,False,True,medium,True,lower,False,low,higher,lower,False,False,lower,False,medium,False,lower
53,30648,False,True,False,False,medium,medium,high,lower,low,False,True,False,low,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,higher
54,30750,True,False,False,False,high,medium,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False,False,higher,False,medium,False,lower
55,30895,True,False,False,False,high,medium,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,True,True,lower,False,low,False,lower
56,30896,True,False,False,False,high,medium,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False,False,higher,False,medium,False,lower
57,33847,False,False,False,False,high,low,medium,lower,medium,True,False,True,medium,True,lower,False,low,higher,lower,False,False,higher,False,medium,False,lower
58,33962,False,False,False,False,high,medium,low,lower,medium,False,False,True,low,False,higher,False,medium,higher,higher,False,False,higher,False,medium,False,lower
59,34403,False,False,False,False,high,high,medium,lower,low,True,False,True,low,True,lower,False,low,higher,lower,False,False,lower,False,medium,False,higher
60,34416,True,False,True,True,high,high,high,lower,low,True,True,True,low,True,higher,False,low,higher,lower,False,False,lower,False,medium,False,lower
61,35533,False,False,False,False,high,low,low,lower,low,True,True,False,low,True,lower,True,high,higher,lower,False,False,lower,False,medium,False,lower
62,35927,True,True,False,True,medium,high,medium,lower,medium,True,True,True,medium,False,lower,False,low,lower,higher,False,False,lower,False,low,False,lower
63,36023,True,True,False,True,medium,high,medium,lower,medium,True,True,True,medium,False,lower,False,low,lower,higher,False,False,lower,False,low,False,lower
64,37007,True,False,False,True,medium,medium,medium,lower,low,True,True,True,medium,True,lower,False,low,higher,lower,False,False,lower,False,medium,False,lower
65,37067,True,False,False,False,high,medium,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False,True,lower,False,low,False,lower
66,37068,True,False,False,False,high,medium,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False,True,lower,False,low,False,lower
67,37121,False,False,False,False,high,medium,medium,lower,low,True,False,False,high,False,lower,False,low,higher,lower,False,False,lower,False,low,False,lower
68,37809,False,False,False,False,medium,medium,medium,lower,medium,True,False,True,low,False,lower,True,low,higher,lower,False,False,lower,False,low,False,lower
69,39331,True,False,True,True,high,high,medium,lower,medium,True,True,True,medium,True,higher,True,low,higher,lower,False,True,lower,False,medium,False,lower
70,39369,True,False,False,False,high,medium,medium,lower,medium,True,True,True,low,False,higher,True,low,lower,higher,True,True,lower,False,low,False,lower
71,40464,True,False,False,False,high,medium,medium,lower,low,True,False,True,medium,True,lower,False,low,higher,lower,True,False,lower,False,medium,False,lower
72,40808,True,False,False,False,high,medium,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False,True,lower,False,low,False,lower
73,41080,False,False,False,False,medium,medium,low,higher,medium,False,False,True,low,False,lower,False,low,higher,higher,False,False,higher,False,medium,True,higher
74,41216,True,False,False,False,high,high,medium,lower,medium,False,False,True,medium,True,lower,True,low,higher,lower,False,False,lower,False,high,False,lower
75,42835,True,True,False,True,high,low,high,lower,low,True,True,True,medium,False,lower,True,low,higher,lower,False,True,higher,False,high,False,lower
76,42995,True,False,False,False,high,medium,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False,True,lower,False,low,False,lower
77,43420,True,True,False,False,medium,high,high,lower,medium,True,True,True,medium,True,lower,True,low,higher,lower,False,False,lower,False,high,False,lower
78,43421,True,True,False,False,medium,high,high,lower,medium,True,True,True,medium,True,lower,True,low,higher,lower,False,False,lower,False,high,False,lower
79,44257,True,False,False,True,high,medium,medium,lower,medium,True,False,False,high,False,lower,False,low,higher,lower,False,False,higher,False,medium,False,lower
80,45264,False,False,False,False,high,medium,low,lower,low,False,False,True,low,False,lower,False,low,higher,higher,False,False,lower,False,low,False,lower
81,46738,False,True,False,False,high,medium,medium,lower,medium,False,False,True,medium,True,lower,False,low,higher,lower,False,False,lower,False,low,False,lower
82,46739,False,True,False,False,high,medium,medium,lower,medium,False,False,True,medium,True,lower,False,low,higher,lower,False,False,lower,False,low,False,lower
83,47547,False,False,False,False,high,low,medium,lower,low,True,False,True,medium,False,lower,False,high,higher,lower,False,False,lower,False,low,False,lower
84,48030,False,False,False,False,high,medium,medium,lower,medium,False,True,True,low,True,lower,False,low,higher,lower,False,False,lower,False,medium,False,lower
85,48703,True,False,False,False,high,medium,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False,False,lower,False,low,False,lower
86,49090,False,False,False,False,high,medium,low,lower,medium,False,False,True,low,False,lower,False,low,higher,higher,False,False,lower,False,low,False,lower
87,49269,True,False,False,False,high,medium,high,lower,low,True,False,False,medium,False,lower,True,low,higher,lower,False,True,lower,False,medium,False,lower
88,49292,True,False,False,False,high,low,medium,lower,low,True,True,True,medium,False,higher,True,high,higher,lower,False,True,lower,False,medium,False,higher
89,49956,False,False,False,False,high,medium,medium,lower,medium,True,False,False,medium,False,lower,False,low,higher,lower,True,False,lower,False,medium,False,lower
90,53145,True,False,False,False,high,medium,medium,lower,medium,True,True,True,low,False,higher,True,low,lower,higher,True,True,lower,False,low,False,lower
91,53789,False,False,False,False,high,medium,medium,lower,low,False,False,True,medium,True,lower,False,low,higher,lower,False,False,lower,False,medium,False,lower
92,55219,False,True,False,False,high,medium,medium,lower,low,True,False,False,medium,False,lower,False,low,higher,lower,False,False,lower,False,low,False,lower
93,55438,False,False,False,False,medium,high,medium,lower,low,False,False,True,low,True,lower,False,low,higher,lower,False,False,lower,False,medium,False,lower
94,55798,True,True,False,True,high,medium,medium,lower,medium,True,True,True,high,False,lower,True,low,higher,lower,False,False,higher,False,low,False,lower
95,56313,False,False,False,False,medium,low,medium,lower,low,False,True,True,low,False,higher,False,low,higher,higher,False,True,higher,False,medium,False,lower
96,56776,True,False,False,False,high,low,medium,lower,low,True,False,True,medium,False,lower,True,high,higher,lower,False,False,lower,False,low,False,lower
97,57511,False,True,False,False,medium,medium,high,lower,medium,True,True,True,medium,True,higher,True,low,lower,higher,False,True,higher,False,medium,False,lower
98,57578,False,False,False,False,high,medium,medium,lower,medium,False,False,True,medium,False,lower,False,low,higher,higher,False,True,lower,False,high,False,lower
99,57666,True,False,False,False,high,medium,medium,lower,high,False,False,False,high,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,lower
100,58183,False,False,False,False,high,high,medium,lower,medium,True,False,True,high,True,lower,False,low,higher,lower,False,False,lower,False,medium,False,lower
101,58253,True,False,False,False,medium,high,medium,lower,medium,True,False,True,high,True,lower,False,low,higher,lower,False,False,lower,False,low,False,lower
102,58570,False,False,False,False,high,high,medium,lower,medium,True,False,True,high,True,lower,False,low,higher,lower,False,False,lower,False,medium,False,lower
103,59662,False,True,False,False,high,medium,medium,higher,high,False,False,True,medium,False,higher,True,low,higher,lower,False,False,lower,False,medium,False,lower
104,61467,True,False,False,False,high,medium,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False,True,lower,False,low,False,lower
105,61810,True,False,False,False,high,high,medium,lower,medium,False,False,True,high,True,lower,False,low,higher,lower,False,False,higher,False,low,False,lower
106,62030,True,False,False,False,high,high,medium,lower,medium,False,False,True,high,True,lower,False,low,higher,lower,False,False,higher,False,low,False,lower
107,62187,True,True,False,False,high,medium,medium,higher,low,True,True,False,medium,True,higher,True,low,higher,lower,False,False,lower,False,medium,False,lower
108,62884,False,False,False,False,high,medium,low,lower,low,False,False,True,low,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,higher
109,62885,False,False,False,False,high,medium,low,lower,low,False,False,True,low,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,higher
110,65501,True,True,False,False,high,medium,medium,lower,low,True,True,True,high,True,lower,False,low,higher,lower,False,False,lower,False,medium,False,lower
111,65595,False,False,False,False,high,low,low,lower,low,False,False,True,low,False,lower,False,high,higher,lower,False,False,lower,False,low,False,lower
112,65596,False,False,False,False,high,low,low,lower,low,False,False,True,low,False,lower,False,high,higher,lower,False,False,lower,False,low,False,lower
113,65931,True,False,False,False,high,low,high,lower,low,True,False,True,medium,True,lower,False,medium,higher,lower,False,False,lower,False,medium,False,lower
114,67208,True,True,False,True,high,low,medium,lower,low,True,True,True,high,True,lower,True,medium,higher,lower,False,False,lower,False,medium,False,lower
115,67791,False,False,False,False,high,low,medium,lower,low,True,False,True,medium,False,lower,True,high,higher,lower,False,False,lower,False,low,False,lower
116,68242,True,True,False,False,high,high,medium,lower,high,True,True,True,high,False,higher,True,low,higher,lower,False,True,lower,False,high,False,lower
117,68413,True,True,False,True,high,high,medium,lower,medium,True,True,True,medium,True,lower,True,low,higher,lower,False,False,lower,False,high,False,lower
118,68468,False,False,False,False,high,high,medium,lower,low,True,True,True,medium,True,higher,True,low,higher,lower,True,False,lower,False,high,False,lower
119,68469,False,False,False,False,high,high,medium,lower,low,True,True,True,medium,True,higher,True,low,higher,lower,True,False,lower,False,high,False,lower
120,69077,False,False,False,False,high,low,medium,lower,low,True,True,True,medium,True,lower,False,high,higher,lower,False,False,higher,False,medium,False,lower
121,69691,True,False,False,False,high,low,medium,lower,low,True,True,False,low,True,lower,True,high,higher,lower,False,False,lower,False,medium,False,lower
122,70193,False,False,False,False,medium,high,low,lower,medium,False,False,True,low,False,lower,False,low,higher,higher,False,False,higher,False,low,False,lower
123,70194,False,False,False,False,medium,high,low,lower,medium,False,False,True,low,False,lower,False,low,higher,higher,False,False,higher,False,low,False,lower
124,70336,True,False,False,True,high,high,medium,lower,low,False,True,True,high,False,higher,True,low,higher,lower,False,False,lower,False,medium,False,lower
125,70408,False,False,True,False,high,medium,medium,lower,medium,False,False,True,medium,True,lower,False,low,higher,higher,False,True,lower,False,medium,False,lower
126,70692,False,False,False,False,high,medium,medium,lower,medium,False,False,True,medium,True,lower,False,low,higher,lower,False,False,lower,False,low,False,lower
127,71180,False,False,False,False,medium,low,high,lower,low,True,False,False,low,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,higher
128,71508,True,False,False,False,high,low,medium,lower,low,True,False,True,medium,False,lower,True,medium,higher,lower,False,False,lower,False,low,False,lower
129,71643,False,False,False,False,high,medium,low,lower,low,False,False,True,low,True,lower,False,low,higher,lower,False,True,higher,False,low,False,lower
130,72219,True,True,False,True,medium,medium,high,lower,medium,True,True,True,low,False,lower,True,low,higher,lower,False,False,lower,False,high,False,lower
131,72585,True,False,False,False,high,medium,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False,True,lower,False,low,False,lower
132,72586,False,False,False,False,high,medium,medium,lower,medium,False,False,True,high,False,lower,False,low,higher,lower,False,False,lower,False,low,False,lower
133,73581,True,False,False,False,high,medium,medium,lower,low,True,False,True,medium,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,lower
134,75367,True,False,False,False,high,medium,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,True,True,lower,False,low,False,lower
135,75391,False,False,False,False,high,medium,low,lower,medium,False,False,True,low,False,higher,False,low,higher,lower,True,True,lower,False,low,False,lower
136,75451,True,False,False,False,high,medium,medium,lower,medium,True,False,True,medium,False,lower,True,low,higher,lower,False,False,lower,False,low,False,lower
137,75785,False,False,False,False,high,medium,medium,lower,low,False,False,True,medium,False,lower,True,low,higher,lower,False,False,lower,False,low,False,lower
138,75843,False,False,False,False,high,medium,low,lower,medium,False,False,True,low,False,higher,False,low,higher,lower,True,True,lower,False,low,False,lower
139,76270,False,False,False,False,high,medium,low,lower,medium,False,False,True,low,False,lower,False,low,higher,lower,False,False,lower,False,low,False,lower
140,76715,True,True,False,False,high,low,high,higher,low,True,True,False,medium,True,lower,True,high,higher,lower,False,False,lower,False,medium,False,lower
