,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len
0,frozenset({'jupyter_prop_high'}),frozenset({'has_author_F'}),0.6715867158671587,0.9911439114391144,0.6693726937269373,0.9967032967032967,1.0056090595926783,0.003733609291812545,2.6863468634686414,1,1
1,frozenset({'has_author_F'}),frozenset({'num_contrib_lower'}),0.9911439114391144,0.9129151291512915,0.9047970479704797,0.9128816083395382,0.9999632815683706,-3.3223948475602505e-05,0.9996152269214993,1,1
2,frozenset({'num_contrib_lower'}),frozenset({'has_author_F'}),0.9129151291512915,0.9911439114391144,0.9047970479704797,0.9911075181891673,0.9999632815683706,-3.3223948475602505e-05,0.9959074136195868,1,1
3,frozenset({'image_prop_low'}),frozenset({'has_author_F'}),0.6760147601476014,0.9911439114391144,0.6678966789667896,0.9879912663755458,0.9968191853602864,-0.0021312345964787927,0.7374706474337429,1,1
4,frozenset({'is_education_F'}),frozenset({'has_author_F'}),0.8922509225092251,0.9911439114391144,0.8833948339483395,0.9900744416873449,0.9989209743010814,-0.0009542353726120778,0.8922509225092258,1,1
5,frozenset({'has_author_F'}),frozenset({'is_education_F'}),0.9911439114391144,0.8922509225092251,0.8833948339483395,0.8912881608339539,0.9989209743010815,-0.0009542353726120778,0.9911439114391148,1,1
6,frozenset({'has_comments_T'}),frozenset({'has_author_F'}),0.6782287822878229,0.9911439114391144,0.6693726937269373,0.9869423286180631,0.9957608751135335,-0.0028496344004030894,0.6782287822878206,1,1
7,frozenset({'num_commits_lower'}),frozenset({'has_author_F'}),0.7690036900369004,0.9911439114391144,0.7616236162361624,0.9904030710172744,0.9992525400062597,-0.0005697090181233655,0.9228044280442752,1,1
8,frozenset({'has_author_F'}),frozenset({'num_commits_lower'}),0.9911439114391144,0.7690036900369004,0.7616236162361624,0.7684288905435592,0.9992525400062598,-0.0005697090181233655,0.9975178272683048,1,1
9,frozenset({'non_exec_prop_lower'}),frozenset({'has_author_F'}),0.9217712177121771,0.9911439114391144,0.9166051660516605,0.9943955164131306,1.0032806587786984,0.0029972358764178697,1.5801792303637632,1,1
10,frozenset({'has_author_F'}),frozenset({'non_exec_prop_lower'}),0.9911439114391144,0.9217712177121771,0.9166051660516605,0.9247952345495161,1.0032806587786984,0.0029972358764178697,1.0402104417083788,1,1
11,frozenset({'exec_inorder_higher'}),frozenset({'has_author_F'}),0.8892988929889298,0.9911439114391144,0.8811808118081181,0.990871369294606,0.9997250226315645,-0.0002423714274042421,0.9701442468970287,1,1
12,frozenset({'has_author_F'}),frozenset({'exec_inorder_higher'}),0.9911439114391144,0.8892988929889298,0.8811808118081181,0.889054355919583,0.9997250226315644,-0.0002423714274042421,0.9977958839991091,1,1
13,frozenset({'exec_skips_lower'}),frozenset({'has_author_F'}),0.870110701107011,0.9911439114391144,0.8619926199261992,0.9906700593723494,0.9995219139609334,-0.00041230375403389363,0.9492116739349173,1,1
14,frozenset({'has_author_F'}),frozenset({'exec_skips_lower'}),0.9911439114391144,0.870110701107011,0.8619926199261992,0.8696947133283693,0.9995219139609334,-0.00041230375403389363,0.9968075909330525,1,1
15,frozenset({'has_error_F'}),frozenset({'has_author_F'}),0.8405904059040591,0.9911439114391144,0.8339483394833949,0.9920983318700615,1.0009629483871432,0.0008022766574529161,1.120787207872079,1,1
16,frozenset({'has_author_F'}),frozenset({'has_error_F'}),0.9911439114391144,0.8405904059040591,0.8339483394833949,0.8413998510796724,1.0009629483871432,0.0008022766574529161,1.0051036848396653,1,1
17,frozenset({'jupyter_prop_high'}),frozenset({'num_contrib_lower'}),0.6715867158671587,0.9129151291512915,0.614760147601476,0.9153846153846154,1.0027050556557429,0.0016584741493171906,1.0291848373029187,1,1
18,frozenset({'jupyter_prop_high'}),frozenset({'is_education_F'}),0.6715867158671587,0.8922509225092251,0.6103321033210332,0.9087912087912087,1.0185377071233148,0.011108236543620031,1.1813453074289761,1,1
19,frozenset({'jupyter_prop_high'}),frozenset({'num_commits_lower'}),0.6715867158671587,0.7690036900369004,0.5269372693726937,0.7846153846153846,1.0203011959249964,0.010484606691085308,1.0724828676858196,1,1
20,frozenset({'jupyter_prop_high'}),frozenset({'non_exec_prop_lower'}),0.6715867158671587,0.9217712177121771,0.6228782287822878,0.9274725274725275,1.0061851679145515,0.0038289238980950824,1.078608967907862,1,1
21,frozenset({'jupyter_prop_high'}),frozenset({'exec_inorder_higher'}),0.6715867158671587,0.8892988929889298,0.6022140221402214,0.8967032967032966,1.0083261137203046,0.004972699173486195,1.071680929575253,1,1
22,frozenset({'jupyter_prop_high'}),frozenset({'exec_skips_lower'}),0.6715867158671587,0.870110701107011,0.5874538745387454,0.8747252747252747,1.0053034327843489,0.003099086341416979,1.03683563151421,1,1
23,frozenset({'jupyter_prop_high'}),frozenset({'has_error_F'}),0.6715867158671587,0.8405904059040591,0.5542435424354244,0.8252747252747253,0.9817798531582553,-0.010285807655124546,0.9123442177818005,1,1
24,frozenset({'image_prop_low'}),frozenset({'num_contrib_lower'}),0.6760147601476014,0.9129151291512915,0.6044280442804428,0.8941048034934499,0.9793953182971905,-0.012716057787884094,0.8223684711073928,1,1
25,frozenset({'is_education_F'}),frozenset({'num_contrib_lower'}),0.8922509225092251,0.9129151291512915,0.8103321033210332,0.9081885856079405,0.9948225816481483,-0.00421726283683499,0.9485189987035012,1,1
26,frozenset({'num_contrib_lower'}),frozenset({'is_education_F'}),0.9129151291512915,0.8922509225092251,0.8103321033210332,0.8876313662085692,0.9948225816481483,-0.00421726283683499,0.9588892723459613,1,1
