,antecedents,consequents,confidence,antecedent_len,consequent_len
8671,"frozenset({'jupyter_prop_high', 'has_author_F', 'exec_skips_lower', 'has_comments_T'})",frozenset({'exec_inorder_higher'}),0.9815384615384615,4,1
4963,"frozenset({'jupyter_prop_high', 'exec_skips_lower', 'has_comments_T'})",frozenset({'exec_inorder_higher'}),0.9814814814814815,3,1
12388,"frozenset({'num_contrib_lower', 'exec_skips_lower', 'num_commits_lower', 'has_comments_T'})",frozenset({'exec_inorder_higher'}),0.9814814814814814,4,1
16066,"frozenset({'num_commits_lower', 'exec_skips_lower', 'has_comments_T', 'num_contrib_lower', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9814658803706824,5,1
15021,"frozenset({'has_error_F', 'exec_skips_lower', 'has_comments_T', 'has_author_F', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.981434599156118,5,1
9792,"frozenset({'num_contrib_lower', 'has_author_F', 'exec_skips_lower', 'has_comments_T'})",frozenset({'exec_inorder_higher'}),0.9813953488372092,4,1
16480,"frozenset({'has_error_F', 'num_commits_lower', 'exec_skips_lower', 'has_comments_T', 'num_contrib_lower', 'has_author_F'})",frozenset({'exec_inorder_higher'}),0.9813242784380306,6,1
12226,"frozenset({'has_error_F', 'exec_skips_lower', 'has_comments_T', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.98130081300813,4,1
14954,"frozenset({'non_exec_prop_low', 'exec_skips_lower', 'has_comments_T', 'has_author_F', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9812925170068028,5,1
16335,"frozenset({'num_commits_lower', 'non_exec_prop_low', 'exec_skips_lower', 'has_comments_T', 'num_contrib_lower', 'has_author_F'})",frozenset({'exec_inorder_higher'}),0.981260647359455,6,1
11707,"frozenset({'jupyter_prop_high', 'has_error_F', 'exec_skips_lower', 'has_comments_T'})",frozenset({'exec_inorder_higher'}),0.981196581196581,4,1
16219,"frozenset({'has_error_F', 'num_commits_lower', 'exec_skips_lower', 'has_comments_T', 'num_contrib_lower'})",frozenset({'exec_inorder_higher'}),0.9811783960720131,5,1
14364,"frozenset({'num_commits_lower', 'jupyter_prop_high', 'exec_skips_lower', 'has_comments_T', 'has_author_F'})",frozenset({'exec_inorder_higher'}),0.9811643835616439,5,1
12188,"frozenset({'non_exec_prop_low', 'exec_skips_lower', 'has_comments_T', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9811320754716981,4,1
14567,"frozenset({'exec_skips_lower', 'has_comments_T', 'num_contrib_lower', 'has_author_F', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9811172305271441,5,1
11914,"frozenset({'num_contrib_lower', 'exec_skips_lower', 'has_comments_T', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9810749432248297,4,1
16137,"frozenset({'num_commits_lower', 'non_exec_prop_low', 'exec_skips_lower', 'has_comments_T', 'num_contrib_lower'})",frozenset({'exec_inorder_higher'}),0.9810387469084915,5,1
12522,"frozenset({'num_contrib_lower', 'has_error_F', 'exec_skips_lower', 'has_comments_T'})",frozenset({'exec_inorder_higher'}),0.9809802487198244,4,1
3567,"frozenset({'exec_inorder_higher', 'num_commits_lower', 'has_links_F'})",frozenset({'has_author_F'}),0.9809444904722452,3,1
11151,"frozenset({'jupyter_prop_high', 'num_commits_lower', 'has_comments_T', 'markdown_prop_med'})",frozenset({'num_contrib_lower'}),0.9809286898839137,4,1
12458,"frozenset({'num_contrib_lower', 'exec_skips_lower', 'has_comments_T', 'non_exec_prop_low'})",frozenset({'exec_inorder_higher'}),0.9809104258443465,4,1
15359,"frozenset({'non_exec_prop_low', 'exec_skips_lower', 'has_comments_T', 'num_contrib_lower', 'has_author_F'})",frozenset({'exec_inorder_higher'}),0.9808575803981623,5,1
15446,"frozenset({'has_error_F', 'exec_skips_lower', 'has_comments_T', 'num_contrib_lower', 'has_author_F'})",frozenset({'exec_inorder_higher'}),0.9808429118773946,5,1
11672,"frozenset({'jupyter_prop_high', 'exec_skips_lower', 'num_commits_lower', 'has_comments_T'})",frozenset({'exec_inorder_higher'}),0.9808333333333333,4,1
14047,"frozenset({'jupyter_prop_high', 'exec_skips_lower', 'has_comments_T', 'num_contrib_lower', 'has_author_F'})",frozenset({'exec_inorder_higher'}),0.9806918744971843,5,1
11438,"frozenset({'num_contrib_lower', 'jupyter_prop_high', 'exec_skips_lower', 'has_comments_T'})",frozenset({'exec_inorder_higher'}),0.9806651198762568,4,1
15988,"frozenset({'num_commits_lower', 'jupyter_prop_high', 'exec_skips_lower', 'has_comments_T', 'num_contrib_lower'})",frozenset({'exec_inorder_higher'}),0.9803921568627453,5,1
4740,"frozenset({'jupyter_prop_high', 'num_commits_lower', 'has_comments_T'})",frozenset({'num_contrib_lower'}),0.9801559177888022,3,1
12728,"frozenset({'has_error_F', 'exec_skips_lower', 'has_comments_T', 'non_exec_prop_low'})",frozenset({'exec_inorder_higher'}),0.980127186009539,4,1
15839,"frozenset({'has_error_F', 'non_exec_prop_low', 'exec_skips_lower', 'has_comments_T', 'has_author_F'})",frozenset({'exec_inorder_higher'}),0.9800664451827243,5,1
6043,"frozenset({'longer_ending_F', 'exec_inorder_higher', 'num_commits_lower', 'has_equation_F'})",frozenset({'has_author_F'}),0.9800498753117208,4,1
11342,"frozenset({'exec_inorder_higher', 'jupyter_prop_high', 'num_commits_lower', 'has_comments_T'})",frozenset({'num_contrib_lower'}),0.9800148038490007,4,1
3582,"frozenset({'exec_inorder_higher', 'exec_skips_lower', 'has_links_F'})",frozenset({'has_author_F'}),0.9796091758708579,3,1
13618,"frozenset({'has_equation_F', 'num_commits_lower', 'exec_skips_lower', 'has_comments_T', 'has_author_F'})",frozenset({'exec_inorder_higher'}),0.9795744680851063,5,1
8251,"frozenset({'jupyter_prop_high', 'has_author_F', 'num_commits_lower', 'has_comments_T'})",frozenset({'num_contrib_lower'}),0.9795321637426903,4,1
13960,"frozenset({'num_commits_lower', 'jupyter_prop_high', 'has_comments_T', 'exec_inorder_higher', 'has_author_F'})",frozenset({'num_contrib_lower'}),0.9794050343249429,5,1
11381,"frozenset({'jupyter_prop_high', 'has_error_F', 'num_commits_lower', 'has_comments_T'})",frozenset({'num_contrib_lower'}),0.9792874896437448,4,1
633,"frozenset({'exec_skips_lower', 'has_links_F'})",frozenset({'has_author_F'}),0.979253112033195,2,1
11014,"frozenset({'num_commits_lower', 'exec_skips_lower', 'has_equation_F', 'has_comments_T'})",frozenset({'exec_inorder_higher'}),0.9792186201163757,4,1
16259,"frozenset({'has_error_F', 'non_exec_prop_low', 'exec_skips_lower', 'has_comments_T', 'num_contrib_lower'})",frozenset({'exec_inorder_higher'}),0.9790268456375839,5,1
11476,"frozenset({'exec_inorder_higher', 'jupyter_prop_high', 'num_commits_lower', 'non_exec_prop_low'})",frozenset({'num_contrib_lower'}),0.9789631855747558,4,1
7742,"frozenset({'has_author_F', 'exec_skips_lower', 'has_equation_F', 'has_comments_T'})",frozenset({'exec_inorder_higher'}),0.9787878787878788,4,1
4428,"frozenset({'exec_skips_lower', 'has_equation_F', 'has_comments_T'})",frozenset({'exec_inorder_higher'}),0.9787234042553192,3,1
11064,"frozenset({'has_error_F', 'exec_skips_lower', 'has_equation_F', 'has_comments_T'})",frozenset({'exec_inorder_higher'}),0.9787052810902896,4,1
6504,"frozenset({'longer_ending_F', 'has_author_F', 'exec_skips_lower', 'has_comments_T'})",frozenset({'exec_inorder_higher'}),0.9785301403798515,4,1
623,"frozenset({'num_commits_lower', 'has_links_F'})",frozenset({'has_author_F'}),0.9785202863961814,2,1
2300,"frozenset({'longer_ending_F', 'exec_skips_lower', 'has_comments_T'})",frozenset({'exec_inorder_higher'}),0.9784860557768923,3,1
1419,"frozenset({'has_title_T', 'exec_skips_lower'})",frozenset({'exec_inorder_higher'}),0.9784688995215312,2,1
3306,"frozenset({'num_contrib_lower', 'num_commits_lower', 'has_links_F'})",frozenset({'has_author_F'}),0.9783152627189323,3,1
14120,"frozenset({'num_commits_lower', 'non_exec_prop_low', 'jupyter_prop_high', 'exec_inorder_higher', 'has_author_F'})",frozenset({'num_contrib_lower'}),0.9783113865220758,5,1
3741,"frozenset({'has_title_T', 'has_author_F', 'exec_skips_lower'})",frozenset({'exec_inorder_higher'}),0.9782608695652175,3,1
13241,"frozenset({'has_equation_F', 'exec_skips_lower', 'has_comments_T', 'num_contrib_lower', 'has_author_F'})",frozenset({'exec_inorder_higher'}),0.9781021897810219,5,1
10784,"frozenset({'num_contrib_lower', 'exec_skips_lower', 'has_equation_F', 'has_comments_T'})",frozenset({'exec_inorder_higher'}),0.9780392156862745,4,1
7027,"frozenset({'exec_inorder_higher', 'jupyter_prop_high', 'num_commits_lower', 'has_equation_F'})",frozenset({'has_author_F'}),0.9778481012658228,4,1
7838,"frozenset({'exec_inorder_higher', 'num_commits_lower', 'exec_skips_lower', 'has_equation_F'})",frozenset({'has_author_F'}),0.9777448071216617,4,1
2663,"frozenset({'num_commits_lower', 'exec_skips_lower', 'has_equation_F'})",frozenset({'has_author_F'}),0.9776496034607065,3,1
11365,"frozenset({'jupyter_prop_high', 'exec_skips_lower', 'num_commits_lower', 'has_comments_T'})",frozenset({'num_contrib_lower'}),0.9774999999999998,4,1
13851,"frozenset({'jupyter_prop_high', 'exec_skips_lower', 'num_contrib_lower', 'has_author_F', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9774812343619683,5,1
11270,"frozenset({'num_contrib_lower', 'jupyter_prop_high', 'exec_skips_lower', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9774011299435028,4,1
11634,"frozenset({'num_contrib_lower', 'has_error_F', 'jupyter_prop_high', 'exec_skips_lower'})",frozenset({'exec_inorder_higher'}),0.9773790951638064,4,1
14325,"frozenset({'has_error_F', 'jupyter_prop_high', 'exec_skips_lower', 'num_contrib_lower', 'has_author_F'})",frozenset({'exec_inorder_higher'}),0.9772727272727272,5,1
12911,"frozenset({'has_equation_F', 'num_commits_lower', 'jupyter_prop_high', 'num_contrib_lower', 'exec_inorder_higher'})",frozenset({'has_author_F'}),0.9771986970684041,5,1
13691,"frozenset({'has_error_F', 'num_commits_lower', 'has_equation_F', 'exec_skips_lower', 'exec_inorder_higher'})",frozenset({'has_author_F'}),0.9771380186282812,5,1
3583,"frozenset({'has_author_F', 'exec_skips_lower', 'has_links_F'})",frozenset({'exec_inorder_higher'}),0.9771186440677965,3,1
4793,"frozenset({'jupyter_prop_high', 'num_commits_lower', 'non_exec_prop_low'})",frozenset({'num_contrib_lower'}),0.9770937723693629,3,1
13617,"frozenset({'num_commits_lower', 'has_equation_F', 'exec_skips_lower', 'has_comments_T', 'exec_inorder_higher'})",frozenset({'has_author_F'}),0.9770797962648557,5,1
15987,"frozenset({'num_commits_lower', 'jupyter_prop_high', 'exec_skips_lower', 'has_comments_T', 'exec_inorder_higher'})",frozenset({'num_contrib_lower'}),0.9770603228547154,5,1
1520,"frozenset({'longer_ending_F', 'num_commits_lower', 'has_equation_F'})",frozenset({'has_author_F'}),0.9770569620253166,3,1
6756,"frozenset({'longer_ending_F', 'num_contrib_lower', 'exec_skips_lower', 'has_comments_T'})",frozenset({'exec_inorder_higher'}),0.9770408163265306,4,1
13654,"frozenset({'num_commits_lower', 'has_equation_F', 'non_exec_prop_low', 'exec_skips_lower', 'exec_inorder_higher'})",frozenset({'has_author_F'}),0.9770408163265306,5,1
7882,"frozenset({'has_error_F', 'num_commits_lower', 'exec_skips_lower', 'has_equation_F'})",frozenset({'has_author_F'}),0.976954732510288,4,1
7801,"frozenset({'num_commits_lower', 'exec_skips_lower', 'has_equation_F', 'non_exec_prop_low'})",frozenset({'has_author_F'}),0.9768976897689768,4,1
530,"frozenset({'markdown_prop_med', 'has_links_F'})",frozenset({'has_author_F'}),0.9767827529021559,2,1
5967,"frozenset({'longer_ending_F', 'num_contrib_lower', 'num_commits_lower', 'has_equation_F'})",frozenset({'has_author_F'}),0.9767827529021559,4,1
4871,"frozenset({'num_contrib_lower', 'jupyter_prop_high', 'exec_skips_lower'})",frozenset({'exec_inorder_higher'}),0.976775956284153,3,1
1341,"frozenset({'exec_skips_lower', 'has_links_F'})",frozenset({'exec_inorder_higher'}),0.9767634854771784,2,1
7671,"frozenset({'num_commits_lower', 'exec_skips_lower', 'has_equation_F', 'has_comments_T'})",frozenset({'has_author_F'}),0.976724854530341,4,1
2399,"frozenset({'jupyter_prop_high', 'num_commits_lower', 'has_equation_F'})",frozenset({'has_author_F'}),0.9766566265060243,3,1
13389,"frozenset({'has_equation_F', 'num_commits_lower', 'exec_skips_lower', 'num_contrib_lower', 'exec_inorder_higher'})",frozenset({'has_author_F'}),0.9766536964980544,5,1
8511,"frozenset({'num_contrib_lower', 'jupyter_prop_high', 'has_author_F', 'exec_skips_lower'})",frozenset({'exec_inorder_higher'}),0.9765791341376863,4,1
7466,"frozenset({'num_contrib_lower', 'num_commits_lower', 'exec_skips_lower', 'has_equation_F'})",frozenset({'has_author_F'}),0.9765329295987889,4,1
1312,"frozenset({'num_contrib_lower', 'exec_skips_lower'})",frozenset({'exec_inorder_higher'}),0.976457399103139,2,1
5755,"frozenset({'num_contrib_lower', 'has_error_F', 'exec_skips_lower'})",frozenset({'exec_inorder_higher'}),0.9764030612244898,3,1
1480,"frozenset({'has_error_F', 'exec_skips_lower'})",frozenset({'exec_inorder_higher'}),0.9763872491145218,2,1
8356,"frozenset({'jupyter_prop_high', 'has_author_F', 'num_commits_lower', 'non_exec_prop_low'})",frozenset({'num_contrib_lower'}),0.9763837638376383,4,1
11209,"frozenset({'jupyter_prop_high', 'num_commits_lower', 'markdown_prop_med', 'non_exec_prop_low'})",frozenset({'num_contrib_lower'}),0.9763513513513513,4,1
5076,"frozenset({'jupyter_prop_high', 'exec_skips_lower', 'has_error_F'})",frozenset({'exec_inorder_higher'}),0.9762787249814678,3,1
8214,"frozenset({'jupyter_prop_high', 'has_author_F', 'exec_skips_lower', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9762282091917591,4,1
7009,"frozenset({'jupyter_prop_high', 'num_commits_lower', 'has_equation_F', 'non_exec_prop_low'})",frozenset({'has_author_F'}),0.9762107051826677,4,1
4712,"frozenset({'jupyter_prop_high', 'exec_skips_lower', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9761904761904762,3,1
8862,"frozenset({'jupyter_prop_high', 'has_error_F', 'has_author_F', 'exec_skips_lower'})",frozenset({'exec_inorder_higher'}),0.9761354888375673,4,1
14166,"frozenset({'num_commits_lower', 'jupyter_prop_high', 'exec_skips_lower', 'num_contrib_lower', 'has_author_F'})",frozenset({'exec_inorder_higher'}),0.9761171032357474,5,1
168,frozenset({'exec_skips_lower'}),frozenset({'exec_inorder_higher'}),0.9761038961038961,1,1
11534,"frozenset({'num_contrib_lower', 'jupyter_prop_high', 'exec_skips_lower', 'num_commits_lower'})",frozenset({'exec_inorder_higher'}),0.9760119940029985,4,1
3522,"frozenset({'num_contrib_lower', 'has_author_F', 'exec_skips_lower'})",frozenset({'exec_inorder_higher'}),0.9760093622001169,3,1
10102,"frozenset({'num_contrib_lower', 'has_error_F', 'has_author_F', 'exec_skips_lower'})",frozenset({'exec_inorder_higher'}),0.976,4,1
3877,"frozenset({'has_error_F', 'has_author_F', 'exec_skips_lower'})",frozenset({'exec_inorder_higher'}),0.9759852216748769,3,1
11228,"frozenset({'exec_inorder_higher', 'jupyter_prop_high', 'num_commits_lower', 'markdown_prop_med'})",frozenset({'num_contrib_lower'}),0.9759689922480619,4,1
6893,"frozenset({'num_contrib_lower', 'jupyter_prop_high', 'num_commits_lower', 'has_equation_F'})",frozenset({'has_author_F'}),0.9759316770186337,4,1
1063,"frozenset({'jupyter_prop_high', 'exec_skips_lower'})",frozenset({'exec_inorder_higher'}),0.9759271307742355,2,1
12617,"frozenset({'num_contrib_lower', 'has_error_F', 'exec_skips_lower', 'num_commits_lower'})",frozenset({'exec_inorder_higher'}),0.9758865248226949,4,1
1550,"frozenset({'longer_ending_F', 'exec_skips_lower', 'has_equation_F'})",frozenset({'has_author_F'}),0.975873544093178,3,1
15626,"frozenset({'has_error_F', 'num_commits_lower', 'exec_skips_lower', 'num_contrib_lower', 'has_author_F'})",frozenset({'exec_inorder_higher'}),0.9757531227038941,5,1
3026,"frozenset({'jupyter_prop_high', 'has_author_F', 'exec_skips_lower'})",frozenset({'exec_inorder_higher'}),0.9757085020242914,3,1
733,"frozenset({'has_author_F', 'exec_skips_lower'})",frozenset({'exec_inorder_higher'}),0.9756493506493507,2,1
5676,"frozenset({'num_contrib_lower', 'exec_skips_lower', 'num_commits_lower'})",frozenset({'exec_inorder_higher'}),0.9756402248594629,3,1
5221,"frozenset({'num_contrib_lower', 'exec_skips_lower', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.975593220338983,3,1
11595,"frozenset({'num_contrib_lower', 'jupyter_prop_high', 'exec_skips_lower', 'non_exec_prop_low'})",frozenset({'exec_inorder_higher'}),0.9755905511811023,4,1
3575,"frozenset({'exec_inorder_higher', 'non_exec_prop_low', 'has_links_F'})",frozenset({'has_author_F'}),0.9755899104963385,3,1
14253,"frozenset({'non_exec_prop_low', 'jupyter_prop_high', 'exec_skips_lower', 'num_contrib_lower', 'has_author_F'})",frozenset({'exec_inorder_higher'}),0.9755102040816327,5,1
9947,"frozenset({'num_contrib_lower', 'has_author_F', 'exec_skips_lower', 'num_commits_lower'})",frozenset({'exec_inorder_higher'}),0.9754680438992899,4,1
11498,"frozenset({'jupyter_prop_high', 'exec_skips_lower', 'num_commits_lower', 'non_exec_prop_low'})",frozenset({'num_contrib_lower'}),0.9754653130287647,4,1
710,"frozenset({'exec_inorder_higher', 'md_format_F'})",frozenset({'has_author_F'}),0.9753820033955858,2,1
9146,"frozenset({'num_contrib_lower', 'has_author_F', 'exec_skips_lower', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9753694581280788,4,1
11514,"frozenset({'non_exec_prop_low', 'jupyter_prop_high', 'num_commits_lower', 'has_error_F'})",frozenset({'num_contrib_lower'}),0.9753086419753086,4,1
13768,"frozenset({'num_commits_lower', 'jupyter_prop_high', 'exec_inorder_higher', 'has_author_F', 'markdown_prop_med'})",frozenset({'num_contrib_lower'}),0.9752,5,1
12011,"frozenset({'num_contrib_lower', 'exec_skips_lower', 'num_commits_lower', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9751506024096387,4,1
11757,"frozenset({'jupyter_prop_high', 'has_error_F', 'exec_skips_lower', 'num_commits_lower'})",frozenset({'exec_inorder_higher'}),0.9751449875724938,4,1
14685,"frozenset({'num_commits_lower', 'exec_skips_lower', 'num_contrib_lower', 'has_author_F', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9751359751359752,5,1
6682,"frozenset({'longer_ending_F', 'exec_inorder_higher', 'jupyter_prop_high', 'num_commits_lower'})",frozenset({'num_contrib_lower'}),0.975103734439834,4,1
1444,"frozenset({'exec_skips_lower', 'num_commits_lower'})",frozenset({'exec_inorder_higher'}),0.9749999999999999,2,1
629,"frozenset({'exec_inorder_higher', 'has_links_F'})",frozenset({'has_author_F'}),0.9749999999999999,2,1
5922,"frozenset({'has_error_F', 'exec_skips_lower', 'num_commits_lower'})",frozenset({'exec_inorder_higher'}),0.9749830966869507,3,1
7064,"frozenset({'exec_inorder_higher', 'jupyter_prop_high', 'exec_skips_lower', 'has_equation_F'})",frozenset({'has_author_F'}),0.9748987854251011,4,1
1189,"frozenset({'exec_skips_lower', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9748901443816698,2,1
5717,"frozenset({'num_contrib_lower', 'exec_skips_lower', 'non_exec_prop_low'})",frozenset({'exec_inorder_higher'}),0.9748711340206184,3,1
10428,"frozenset({'has_error_F', 'has_author_F', 'exec_skips_lower', 'num_commits_lower'})",frozenset({'exec_inorder_higher'}),0.9748251748251747,4,1
2431,"frozenset({'jupyter_prop_high', 'exec_skips_lower', 'has_equation_F'})",frozenset({'has_author_F'}),0.974822974036192,3,1
3796,"frozenset({'has_author_F', 'exec_skips_lower', 'num_commits_lower'})",frozenset({'exec_inorder_higher'}),0.9748157248157249,3,1
6556,"frozenset({'longer_ending_F', 'exec_inorder_higher', 'exec_skips_lower', 'num_commits_lower'})",frozenset({'has_author_F'}),0.9746938775510203,4,1
1817,"frozenset({'longer_ending_F', 'exec_skips_lower', 'num_commits_lower'})",frozenset({'has_author_F'}),0.9746434231378764,3,1
3272,"frozenset({'has_author_F', 'exec_skips_lower', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9746423927178154,3,1
8765,"frozenset({'jupyter_prop_high', 'has_author_F', 'exec_skips_lower', 'num_commits_lower'})",frozenset({'exec_inorder_higher'}),0.9745889387144994,4,1
1462,"frozenset({'exec_skips_lower', 'non_exec_prop_low'})",frozenset({'exec_inorder_higher'}),0.9745762711864407,2,1
1492,"frozenset({'longer_ending_F', 'has_equation_F', 'markdown_prop_med'})",frozenset({'has_author_F'}),0.9745762711864406,3,1
3313,"frozenset({'num_contrib_lower', 'non_exec_prop_low', 'has_links_F'})",frozenset({'has_author_F'}),0.9745693191140278,3,1
5018,"frozenset({'jupyter_prop_high', 'exec_skips_lower', 'num_commits_lower'})",frozenset({'exec_inorder_higher'}),0.9745269286754003,3,1
10028,"frozenset({'num_contrib_lower', 'has_author_F', 'exec_skips_lower', 'non_exec_prop_low'})",frozenset({'exec_inorder_higher'}),0.974496644295302,4,1
4804,"frozenset({'exec_inorder_higher', 'jupyter_prop_high', 'num_commits_lower'})",frozenset({'num_contrib_lower'}),0.9744429882044562,3,1
12110,"frozenset({'num_contrib_lower', 'has_error_F', 'exec_skips_lower', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9744384198295895,4,1
627,"frozenset({'non_exec_prop_low', 'has_links_F'})",frozenset({'has_author_F'}),0.9743987587276959,2,1
194,"frozenset({'longer_ending_F', 'has_links_F'})",frozenset({'has_author_F'}),0.9743164871582435,2,1
5454,"frozenset({'has_error_F', 'exec_skips_lower', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9742673338098641,3,1
14841,"frozenset({'has_error_F', 'exec_skips_lower', 'num_contrib_lower', 'has_author_F', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9742558326629124,5,1
3837,"frozenset({'has_author_F', 'exec_skips_lower', 'non_exec_prop_low'})",frozenset({'exec_inorder_higher'}),0.9741813602015115,3,1
5390,"frozenset({'exec_skips_lower', 'num_commits_lower', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9741750358680057,3,1
5050,"frozenset({'jupyter_prop_high', 'exec_skips_lower', 'non_exec_prop_low'})",frozenset({'exec_inorder_higher'}),0.9741641337386019,3,1
9472,"frozenset({'has_author_F', 'exec_skips_lower', 'num_commits_lower', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9741315594974131,4,1
6061,"frozenset({'longer_ending_F', 'exec_inorder_higher', 'has_equation_F', 'non_exec_prop_low'})",frozenset({'has_author_F'}),0.9741235392320535,4,1
12545,"frozenset({'num_contrib_lower', 'exec_skips_lower', 'num_commits_lower', 'non_exec_prop_low'})",frozenset({'exec_inorder_higher'}),0.9741007194244603,4,1
3319,"frozenset({'exec_inorder_higher', 'num_contrib_lower', 'has_links_F'})",frozenset({'has_author_F'}),0.9740769835035351,3,1
9594,"frozenset({'has_error_F', 'has_author_F', 'exec_skips_lower', 'markdown_prop_med'})",frozenset({'exec_inorder_higher'}),0.9740740740740741,4,1
8826,"frozenset({'jupyter_prop_high', 'has_author_F', 'exec_skips_lower', 'non_exec_prop_low'})",frozenset({'exec_inorder_higher'}),0.9740361919748229,4,1
4564,"frozenset({'jupyter_prop_high', 'num_commits_lower', 'markdown_prop_med'})",frozenset({'num_contrib_lower'}),0.9740356083086054,3,1
15489,"frozenset({'num_commits_lower', 'non_exec_prop_low', 'exec_skips_lower', 'num_contrib_lower', 'has_author_F'})",frozenset({'exec_inorder_higher'}),0.9739970282317979,5,1
489,"frozenset({'jupyter_prop_high', 'has_links_F'})",frozenset({'has_author_F'}),0.973905723905724,2,1
8764,"frozenset({'exec_inorder_higher', 'jupyter_prop_high', 'exec_skips_lower', 'num_commits_lower'})",frozenset({'has_author_F'}),0.9738610903659447,4,1
